ID	DOCULECT	PARAMETER	VALUE	IPA	TOKENS	ALIGNMENT	COGID	NOTE
299	Proto-Germanic	*spennanan	*spennanan	spennanan	s p e nn a n a n	s p e nn a n ( a n )	84	
300	German	*spennanan	spinnen	ʃpɪnən	ʃ p ɪ n ə n	ʃ p ɪ n ə n ( - - )	84	
301	English	*spennanan	spin	spɪn	s p ɪ n	s p ɪ n - - ( - - )	84	
302	Dutch	*spennanan	spinnen	spɪnə	s p ɪ n ə	s p ɪ n ə - ( - - )	84	
303	Proto-Germanic	*xalsaz	*xalsaz	xalsaz	x a l s a z	x a l s ( a z )	85	
304	German	*xalsaz	Hals	hals	h a l s	h a l s ( - - )	85	
305	Dutch	*xalsaz	hals	hɑls	h ɑ l s	h ɑ l s ( - - )	85	
306	Proto-Germanic	*skelduz	*skelduz	skelduz	s k e l d u z	s k e l d ( u z )	86	
307	German	*skelduz	Schild	ʃɪlt	ʃ ɪ l t	ʃ - ɪ l d ( - - )	86	BOR
308	English	*skelduz	shield	ʃiːld	ʃ iː l d	ʃ - iː l d ( - - )	86	
309	Dutch	*skelduz	schild	sxɪlt	s x ɪ l t	s x ɪ l t ( - - )	86	
310	Proto-Germanic	*balluz	*balluz	balluz	b a ll u z	b a ll ( u z )	87	
311	German	*balluz	Ball	bal	b a l	b a l ( - - )	87	
312	English	*balluz	ball	bɔːl	b ɔː l	b ɔː l ( - - )	87	
313	Dutch	*balluz	bal	bɑl	b ɑ l	b ɑ l ( - - )	87	
314	Proto-Germanic	*nistan	*nistan	nistan	n i s t a n	n i s t ( a n )	88	
315	German	*nistan	Nest	nɛst	n ɛ s t	n ɛ s t ( - - )	88	
316	English	*nistan	nest	nɛst	n ɛ s t	n ɛ s t ( - - )	88	
317	Dutch	*nistan	nest	nɛst	n ɛ s t	n ɛ s t ( - - )	88	
318	Proto-Germanic	*sterbanan	*sterbanan	sterbanan	s t e r b a n a n	s t e r b a n ( a n )	89	
319	German	*sterbanan	sterben	ʃtɛrbən	ʃ t ɛ r b ə n	ʃ t ɛ r b ə n ( - - )	89	
320	English	*sterbanan	starve	stɑːv	s t ɑː v	s t ɑː v - - - ( - - )	89	
321	Dutch	*sterbanan	sterven	stɛrvə	s t ɛ r v ə	s t ɛ r v ə - ( - - )	89	
322	Proto-Germanic	*newun	*newun	newun	n e w u n	n e w u n	90	
323	German	*newun	neun	nɔyn	n ɔy n	n ɔy - - n	90	
324	English	*newun	nine	naɪn	n aɪ n	n aɪ - - n	90	
325	Dutch	*newun	negen	neːɣə	n eː ɣ ə	n eː ɣ ə -	90	
326	Proto-Germanic	*tappōn	*tappōn	tappoːn	t a pp oː n	t a pp oː ( n )	91	
327	German	*tappōn	Zapfen	t͡sap͡fən	ts a pf ə n	ts a pf ə ( n )	91	
328	English	*tappōn	tap	tæp	t æ p	t æ p - ( - )	91	
329	Dutch	*tappōn	tap	tɑp	t ɑ p	t ɑ p - ( - )	91	
330	Proto-Germanic	*salbō	*salbō	salboː	s a l b oː	s a l b oː	92	
331	German	*salbō	Salbe	zalbə	z a l b ə	z a l b ə	92	
332	English	*salbō	salve	sælv	s æ l v	s æ l v -	92	
333	Dutch	*salbō	zalf	zɑlf	z ɑ l f	z ɑ l f -	92	
334	Proto-Germanic	*xundaz	*xundaz	xundaz	x u n d a z	x u n d ( a z )	93	
335	German	*xundaz	Hund	hʊnt	h ʊ n t	h ʊ n d ( - - )	93	
336	English	*xundaz	hound	haʊnd	h aʊ n d	h aʊ n d ( - - )	93	
337	Dutch	*xundaz	hond	hɔnt	h ɔ n t	h ɔ n t ( - - )	93	
338	Proto-Germanic	*fuxsaz	*fuxsaz	fuxsaz	f u x s a z	f u x s ( a z )	94	
339	German	*fuxsaz	Fuchs	fʊks	f ʊ k s	f ʊ k s ( - - )	94	
340	English	*fuxsaz	fox	fɔks	f ɔ k s	f ɔ k s ( - - )	94	
341	Dutch	*fuxsaz	vos	vɔs	v ɔ s	v ɔ - s ( - - )	94	
342	Proto-Germanic	*xerdō	*xerdō	xerdoː	x e r d oː	x e r d oː	95	
343	German	*xerdō	Herde	heːrdə	h eː r d ə	h eː r d ə	95	BOR
344	English	*xerdō	herd	hɜːd	h ɜː d	h ɜː - d -	95	
345	Proto-Germanic	*xnīgwanan	*xnīgwanan	xniːgwanan	x n iː g w a n a n	x n iː g w a n ( a n )	96	
346	German	*xnīgwanan	neigen	naiɡən	n ai g ə n	- n ai g - ə n ( - - )	96	
347	Dutch	*xnīgwanan	neigen	nɛɪɣə	n ɛɪ ɣ ə	- n ɛɪ ɣ - ə - ( - - )	96	
348	Proto-Germanic	*xwōstōn	*xwōstōn	xwoːstoːn	x w oː s t oː n	x w oː s t oː ( n )	97	
349	German	*xwōstōn	Husten	hʊstən	h ʊ s t ə n	h - ʊ s t ə ( n )	97	
350	Dutch	*xwōstōn	hoest	huːst	h uː s t	h - uː s t - ( - )	97	
351	Proto-Germanic	*θankaz	*θankaz	θankaz	θ a n k a z	θ a n k ( a z )	98	
352	German	*θankaz	denken	dɛŋkən	d ɛ ŋ k ə n	d ɛ ŋ k ( ə n )	98	
353	English	*θankaz	think	θɪŋk	θ ɪ ŋ k	θ ɪ ŋ k ( - - )	98	!
354	Dutch	*θankaz	denken	dɛŋkə	d ɛ ŋ k ə	d ɛ ŋ k ( ə - )	98	!
355	Proto-Germanic	*θankaz	*θankaz	θankaz	θ a n k a z	θ a n k ( a z )	328	
356	German	*θankaz	Dank	daŋk	d a ŋ k	d a ŋ k ( - - )	328	
357	English	*θankaz	thanks	θæŋks	θ æ ŋ k s	θ æ ŋ k ( - s )	328	!
358	Dutch	*θankaz	dank	dɑŋk	d ɑ ŋ k	d ɑ ŋ k ( - - )	328	!
359	Proto-Germanic	*strawjanan	*strawjanan	strawjanan	s t r a w j a n a n	s t r a w j a n ( a n )	99	
360	German	*strawjanan	streuen	ʃtrɔyən	ʃ t r ɔy ə n	ʃ t r ɔy - - ə n ( - - )	99	
361	English	*strawjanan	strew	struː	s t r uː	s t r uː - - - - ( - - )	99	
362	Dutch	*strawjanan	strooien	stroːjə	s t r oː j ə	s t r oː - j ə - ( - - )	99	
363	Proto-Germanic	*fedwōrez	*fedwōrez	fedwoːrez	f e d w oː r e z	f e ( d w oː ) r ( e z )	100	
364	German	*fedwōrez	vier	fiːr	f iː r	f iː ( - - - ) r ( - - )	100	
365	English	*fedwōrez	four	fɔːr	f ɔː r	f ɔː ( - - - ) r ( - - )	100	
366	Dutch	*fedwōrez	vier	viːr	v iː r	v iː ( - - - ) r ( - - )	100	
367	Proto-Germanic	*speru	*speru	speru	s p e r u	s p e r ( u )	101	
368	German	*speru	Speer	ʃpeːr	ʃ p eː r	ʃ p eː r ( - )	101	
369	English	*speru	spear	spɪər	s p ɪə r	s p ɪə r ( - )	101	
370	Dutch	*speru	speer	speːr	s p eː r	s p eː r ( - )	101	
371	Proto-Germanic	*laugō	*laugō	laugoː	l au g oː	l au g oː	102	
372	German	*laugō	Lauge	lauɡə	l au g ə	l au g ə	102	
373	English	*laugō	lye	laɪ	l aɪ	l aɪ - -	102	
374	Dutch	*laugō	loog	loːx	l oː x	l oː x -	102	
375	Proto-Germanic	*xunagan	*xunagan	xunagan	x u n a g a n	x u n a g ( a n )	103	
376	German	*xunagan	Honig	hoːnɪx	h oː n ɪ x	h oː n ɪ x ( - - )	103	
377	English	*xunagan	honey	hʌnɪ	h ʌ n ɪ	h ʌ n ɪ - ( - - )	103	
378	Dutch	*xunagan	honing	hoːnɪŋ	h oː n ɪ ŋ	h oː n ɪ - ( - ŋ )	103	
379	Proto-Germanic	*medjaz	*medjaz	medjaz	m e d j a z	m e d j a z	104	
380	German	*medjaz	Mitte	mɪtə	m ɪ t ə	m ɪ t - ə -	104	
381	Dutch	*medjaz	midden	mɪdə	m ɪ d ə	m ɪ d - ə -	104	
382	Proto-Germanic	*burōjanan	*burōjanan	buroːjanan	b u r oː j a n a n	b u r ( oː j ) a n ( a n )	105	
383	German	*burōjanan	bohren	boːrən	b oː r ə n	b oː r ( - - ) ə n ( - - )	105	
384	English	*burōjanan	bore	bɔːr	b ɔː r	b ɔː r ( - - ) - - ( - - )	105	
385	Dutch	*burōjanan	boren	boːrə	b oː r ə	b oː r ( - - ) ə - ( - - )	105	
386	Proto-Germanic	*xagjaz	*xagjaz	xagjaz	x a g j a z	x a g j a z	106	
387	German	*xagjaz	Hecke	hɛkə	h ɛ k ə	h ɛ k - ə -	106	
388	English	*xagjaz	hedge	hɛʤ	h ɛ dʒ	h ɛ dʒ - - -	106	
389	Dutch	*xagjaz	heg	hɛx	h ɛ x	h ɛ x - - -	106	
390	Proto-Germanic	*burdiz	*burdiz	burdiz	b u r d i z	( - - ) b u r d ( i z )	107	
391	German	*burdiz	Geburt	ɡəbuːrt	g ə b uː r t	( g ə ) b uː r t ( - - )	107	
392	English	*burdiz	birth	bɜːθ	b ɜː θ	( - - ) b ɜː - θ ( - - )	107	
393	Dutch	*burdiz	geboorte	xəboːrtə	x ə b oː r t ə	( x ə ) b oː r t ( ə - )	107	
394	Proto-Germanic	*xanduz	*xanduz	xanduz	x a n d u z	x a n d u z	108	
395	German	*xanduz	Hand	hant	h a n t	h a n d - -	108	
396	English	*xanduz	hand	hænd	h æ n d	h æ n d - -	108	
397	Dutch	*xanduz	hand	hɑnt	h ɑ n t	h ɑ n t - -	108	
398	Proto-Germanic	*draumaz	*draumaz	draumaz	d r au m a z	d r au m ( a z )	109	
399	German	*draumaz	Traum	traum	t r au m	t r au m ( - - )	109	
400	English	*draumaz	dream	driːm	d r iː m	d r iː m ( - - )	109	
401	Dutch	*draumaz	droom	droːm	d r oː m	d r oː m ( - - )	109	
402	Proto-Germanic	*wēgiz	*wēgiz	weːgiz	w eː g i z	w eː g i ( z )	110	
403	German	*wēgiz	Waage	vaːɡə	v aː g ə	v aː g ə ( - )	110	
404	Dutch	*wēgiz	waag	ʋaːx	ʋ aː x	ʋ aː x - ( - )	110	
405	Proto-Germanic	*laθōjanan	*laθōjanan	laθoːjanan	l a θ oː j a n a n	l a θ oː j a n ( a n )	111	
406	German	*laθōjanan	laden	laːdən	l aː d ə n	l aː d ə - - n ( - - )	111	
407	English	*laθōjanan	lade	leɪd	l eɪ d	l eɪ d - - - - ( - - )	111	
408	Dutch	*laθōjanan	laden	laːdə	l aː d ə	l aː d ə - - - ( - - )	111	
409	Proto-Germanic	*deuzan	*deuzan	deuzan	d eu z a n	d eu z ( a n )	112	
410	German	*deuzan	Tier	tiːr	t iː r	t iː r ( - - )	112	
411	English	*deuzan	deer	dɪər	d ɪə r	d ɪə r ( - - )	112	
412	Dutch	*deuzan	dier	diːr	d iː r	d iː r ( - - )	112	
413	Proto-Germanic	*walaz	*walaz	walaz	w a l a z	w a l ( a z )	113	
414	German	*walaz	Wal	vaːl	v aː l	v aː l ( - - )	113	
415	English	*walaz	whale	ʋeɪl	ʋ eɪ l	ʋ eɪ l ( - - )	113	
416	Dutch	*walaz	wal	ʋɑl	ʋ ɑ l	ʋ ɑ l ( - - )	113	
417	Proto-Germanic	*spēnuz	*spēnuz	speːnuz	s p eː n u z	s p eː n ( u z )	114	
418	German	*spēnuz	Span	ʃpaːn	ʃ p aː n	ʃ p aː n ( - - )	114	
419	English	*spēnuz	spoon	spuːn	s p uː n	s p uː n ( - - )	114	
420	Dutch	*spēnuz	spaan	spaːn	s p aː n	s p aː n ( - - )	114	
421	Proto-Germanic	*ēdro	*ēdro	eːdro	eː d r o	eː d - r ( o )	115	
422	German	*ēdro	Ader	aːdər	aː d ə r	aː d ə r ( - )	115	IRR
423	Dutch	*ēdro	ader	aːdər	aː d ə r	aː d ə r ( - )	115	
424	Proto-Germanic	*kernōn	*kernōn	kernoːn	k e r n oː n	k e r n oː n	116	
425	German	*kernōn	Kern	kɛrn	k ɛ r n	k ɛ r - - n	116	
426	Dutch	*kernōn	kern	kɛrn	k ɛ r n	k ɛ r - - n	116	
427	Proto-Germanic	*θūs-undī	*θūs-undī	θuːs+undiː	θ uː s + u n d iː	θ uː s u n d ( iː )	117	
428	German	*θūs-undī	tausend	tauzənt	t au z ə n t	t au z ə n t ( - )	117	
429	English	*θūs-undī	thousand	θaʊzṇd	θ aʊ z ə n d	θ aʊ z ə n d ( - )	117	
430	Dutch	*θūs-undī	duizend	dœyzənt	d œy z ə n t	d œy z ə n t ( - )	117	
431	Proto-Germanic	*nablōn	*nablōn	nabloːn	n a b l oː n	n a b - l ( oː n )	118	
432	German	*nablōn	Nabel	naːbəl	n aː b ə l	n aː b ə l ( - - )	118	
433	English	*nablōn	navel	neɪvḷ	n eɪ v ə l	n eɪ v ə l ( - - )	118	
434	Dutch	*nablōn	navel	naːvəl	n aː v ə l	n aː v ə l ( - - )	118	
435	Proto-Germanic	*xultan	*xultan	xultan	x u l t a n	x u l t ( a n )	119	
436	German	*xultan	Holz	hɔlt͡s	h ɔ l ts	h ɔ l ts ( - - )	119	
437	Dutch	*xultan	hout	hɑut	h ɑu t	h ɑu - t ( - - )	119	
438	Proto-Germanic	*xamaraz	*xamaraz	xamaraz	x a m a r a z	x a m a r ( a z )	120	
439	German	*xamaraz	Hammer	hamər	h a m ə r	h a m ə r ( - - )	120	
440	English	*xamaraz	hammer	hæmər	h æ m ə r	h æ m ə r ( - - )	120	
441	Dutch	*xamaraz	hamer	haːmər	h aː m ə r	h aː m ə r ( - - )	120	
442	Proto-Germanic	*stīganan	*stīganan	stiːganan	s t iː g a n a n	s t iː g a n ( a n )	121	
443	German	*stīganan	steigen	ʃtaiɡən	ʃ t ai g ə n	ʃ t ai g ə n ( - - )	121	
444	Dutch	*stīganan	stijgen	stɛɪɣə	s t ɛɪ ɣ ə	s t ɛɪ ɣ ə - ( - - )	121	
445	Proto-Germanic	*falθanan	*falθanan	falθanan	f a l θ a n a n	f a l θ a n ( a n )	122	
446	German	*falθanan	falten	faltən	f a l t ə n	f a l t ə n ( - - )	122	
447	English	*falθanan	fold	fəʊld	f əʊ l d	f əʊ l d - - ( - - )	122	
448	Dutch	*falθanan	vouw	vɑuʋ	v ɑu ʋ	v ɑu ʋ - ə - ( - - )	122	NC
449	Proto-Germanic	*steltjōn	*steltjōn	steltjoːn	s t e l t j oː n	s t e l t j oː ( n )	123	
450	German	*steltjōn	Stelze	ʃtɛlt͡sə	ʃ t ɛ l ts ə	ʃ t ɛ l ts - ə ( - )	123	
451	English	*steltjōn	stilt	stɪlt	s t ɪ l t	s t ɪ l t - - ( - )	123	
452	Dutch	*steltjōn	stelt	stɛlt	s t ɛ l t	s t ɛ l t - - ( - )	123	
453	Proto-Germanic	*xarmaz	*xarmaz	xarmaz	x a r m a z	x a r m ( a z )	124	
454	German	*xarmaz	Harm	harm	h a r m	h a r m ( - - )	124	
455	English	*xarmaz	harm	hɑːm	h ɑː m	h ɑː - m ( - - )	124	
456	Proto-Germanic	*frustan	*frustan	frustan	f r u s t a n	f r u - s t ( a n )	125	
457	German	*frustan	Frost	frɔst	f r ɔ s t	f r ɔ - s t ( - - )	125	
458	English	*frustan	frost	frɔst	f r ɔ s t	f r ɔ - s t ( - - )	125	
459	Dutch	*frustan	vorst	vɔrst	v ɔ r s t	v - ɔ r s t ( - - )	125	
460	Proto-Germanic	*stelanan	*stelanan	stelanan	s t e l a n a n	s t e l a n ( a n )	126	
461	German	*stelanan	stehlen	ʃteːlən	ʃ t eː l ə n	ʃ t eː l ə n ( - - )	126	
462	English	*stelanan	steal	stiːl	s t iː l	s t iː l - - ( - - )	126	
463	Dutch	*stelanan	stelen	steːlə	s t eː l ə	s t eː l ə - ( - - )	126	
464	Proto-Germanic	*farnan	*farnan	farnan	f a r n a n	f a r n ( a n )	127	
465	German	*farnan	Farn	farn	f a r n	f a r n ( - - )	127	
466	English	*farnan	fern	fɜːn	f ɜː n	f ɜː - n ( - - )	127	
467	Dutch	*farnan	varen	vaːrə	v aː r ə	v aː r - ( ə - )	127	
468	Proto-Germanic	*natjan	*natjan	natjan	n a t j a n	n a t j ( a n )	128	
469	German	*natjan	Netz	nɛt͡s	n ɛ ts	n ɛ ts - ( - - )	128	
470	English	*natjan	net	nɛt	n ɛ t	n ɛ t - ( - - )	128	
471	Dutch	*natjan	net	nɛt	n ɛ t	n ɛ t - ( - - )	128	
472	Proto-Germanic	*barwōn	*barwōn	barwoːn	b a r w oː n	b a r ( w oː n )	129	
473	German	*barwōn	Bahre	baːrə	b aː r ə	b aː r ( - ə - )	129	
474	English	*barwōn	bier	bɪər	b ɪə r	b ɪə r ( - - - )	129	
475	Dutch	*barwōn	baar	baːr	b aː r	b aː r ( - - - )	129	
476	Proto-Germanic	*dampaz	*dampaz	dampaz	d a m p a z	d a m p ( a z )	130	
477	German	*dampaz	Dampf	damp͡f	d a m pf	d a m pf ( - - )	130	BOR
478	Dutch	*dampaz	damp	dɑmp	d ɑ m p	d ɑ m p ( - - )	130	
479	Proto-Germanic	*xelpō	*xelpō	xelpoː	x e l p oː	x e l p oː	131	
480	German	*xelpō	Hilfe	hɪlfə	h ɪ l f ə	h ɪ l f ə	131	
481	English	*xelpō	help	hɛlp	h ɛ l p	h ɛ l p -	131	
482	Dutch	*xelpō	hulp	hʉlp	h ʉ l p	h ʉ l p -	131	
483	Proto-Germanic	*naudiz	*naudiz	naudiz	n au d i z	n au d ( i z )	132	
484	German	*naudiz	Not	noːt	n oː t	n oː t ( - - )	132	
485	English	*naudiz	need	niːd	n iː d	n iː d ( - - )	132	
486	Dutch	*naudiz	nood	noːt	n oː t	n oː t ( - - )	132	
487	Proto-Germanic	*xendjō	*xendjō	xendjoː	x e n d j oː	x e n d j oː	133	
488	German	*xendjō	Hinde	hɪndə	h ɪ n d ə	h ɪ n d - ə	133	
489	English	*xendjō	hind	haɪnd	h aɪ n d	h aɪ n d - -	133	
490	Dutch	*xendjō	hinde	hɪndə	h ɪ n d ə	h ɪ n d - ə	133	
491	Proto-Germanic	*xaslaz	*xaslaz	xaslaz	x a s l a z	x a s - l ( a z )	134	
492	German	*xaslaz	Hasel	haːzəl	h aː z ə l	h aː z ə l ( - - )	134	
493	English	*xaslaz	hazel	heɪzḷ	h eɪ z ə l	h eɪ z ə l ( - - )	134	
494	Dutch	*xaslaz	hazelaar	haːzəlaːr	h aː z ə l aː r	h aː z ə l ( aː r )	134	
495	Proto-Germanic	*strangiz	*strangiz	strangiz	s t r a n g i z	s t r a n g ( i z )	135	
496	German	*strangiz	Strang	ʃtraŋ	ʃ t r a ŋ	ʃ t r a ŋ - ( - - )	135	
497	English	*strangiz	string	strɪŋ	s t r ɪ ŋ	s t r ɪ ŋ - ( - - )	135	
498	Dutch	*strangiz	streng	strɛŋ	s t r ɛ ŋ	s t r ɛ ŋ - ( - - )	135	
499	Proto-Germanic	*rūman	*rūman	ruːman	r uː m a n	r uː m ( a n )	136	
500	German	*rūman	Raum	raum	r au m	r au m ( - - )	136	
501	English	*rūman	room	ruːm	r uː m	r uː m ( - - )	136	
502	Dutch	*rūman	ruim	rœym	r œy m	r œy m ( - - )	136	
503	Proto-Germanic	*brekanan	*brekanan	brekanan	b r e k a n a n	b r e k a n ( a n )	137	
504	German	*brekanan	brechen	brɛxən	b r ɛ x ə n	b r ɛ x ə n ( - - )	137	
505	English	*brekanan	break	breɪk	b r eɪ k	b r eɪ k - - ( - - )	137	
506	Dutch	*brekanan	breken	breːkə	b r eː k ə	b r eː k ə - ( - - )	137	
507	Proto-Germanic	*brokan	*brekanan	brekanan	b r o k a n	b r o k ( a n )	415
508	German	*brokan	Bruch	brʊx	b r ʊ x	b r ʊ x ( - - )	415
509	English	*brokan	breeches	brʊk	b r ʊ k	b r ʊ k ( - - )	415
510	Dutch	*brokan	broek	bruːk	b r uː k	b r uː k ( - - )	415
511	Proto-Germanic	*wokraz	*wokraz	wokraz	w o k r a z	w o k - r ( a z )	138	
512	German	*wokraz	Wucher	vuːxər	v uː x ə r	v uː x ə r ( - - )	138	
513	Dutch	*wokraz	woeker	ʋuːkər	ʋ uː k ə r	ʋ uː k ə r ( - - )	138	
514	Proto-Germanic	*utraz	*utraz	utraz	u t r a z	u t - r ( a z )	139	
515	German	*utraz	Otter	ɔtər	ɔ t ə r	ɔ t ə r ( - - )	139	
516	English	*utraz	adder	ædər	æ d ə r	æ d ə r ( - - )	139	
517	Dutch	*utraz	adder	ɑdər	ɑ d ə r	ɑ d ə r ( - - )	139	
518	Proto-Germanic	*saumaz	*saumaz	saumaz	s au m a z	s au m ( a z )	140	
519	German	*saumaz	Saum	zaum	z au m	z au m ( - - )	140	
520	English	*saumaz	seam	siːm	s iː m	s iː m ( - - )	140	
521	Dutch	*saumaz	zoom	zoːm	z oː m	z oː m ( - - )	140	
522	Proto-Germanic	*līkan	*līkan	liːkan	l iː k a n	l iː k a ( n )	141	
523	German	*līkan	Leiche	laixə	l ai x ə	l ai x ə ( - )	141	
524	Dutch	*līkan	lijk	lɛɪk	l ɛɪ k	l ɛɪ k - ( - )	141	
525	Proto-Germanic	*bannan	*bannan	bannan	b a nn a n	b a nn ( a n )	142	
526	German	*bannan	Bann	ban	b a n	b a n ( - - )	142	
527	English	*bannan	ban	bæn	b æ n	b æ n ( - - )	142	
528	Dutch	*bannan	ban	bɑn	b ɑ n	b ɑ n ( - - )	142	
529	Proto-Germanic	*spangō	*spangō	spangoː	s p a n g oː	s p a n g oː	143	
530	German	*spangō	Spange	ʃpaŋə	ʃ p a ŋ ə	ʃ p a ŋ - ə	143	
531	Dutch	*spangō	spang	spɑŋ	s p ɑ ŋ	s p ɑ ŋ - -	143	
532	Proto-Germanic	*leuxtjanan	*leuxtjanan	leuxtjanan	l eu x t j a n a n	l eu x t j a n ( a n )	144	
533	German	*leuxtjanan	leuchten	lɔyxtən	l ɔy x t ə n	l ɔy x t - ə n ( - - )	144	
534	English	*leuxtjanan	light	laɪt	l aɪ t	l aɪ - t - - - ( - - )	144	
535	Dutch	*leuxtjanan	lichten	lɪxtə	l ɪ x t ə	l ɪ x t - ə - ( - - )	144	
536	Proto-Germanic	*xandlōjanan	*xandlōjanan	xandloːjanan	x a n d l oː j a n a n	x a n d - l ( oː j a n a n )	145	
537	German	*xandlōjanan	handeln	handəln	h a n d ə l n	h a n d ə l ( - n - - - - )	145	
538	English	*xandlōjanan	handle	hændḷ	h æ n d ə l	h æ n d ə l ( - - - - - - )	145	
539	Dutch	*xandlōjanan	handelen	hɑndələ	h ɑ n d ə l ə	h ɑ n d ə l ( ə - - - - - )	145	
540	Proto-Germanic	*laistjanan	*laistjanan	laistjanan	l ai s t j a n a n	l ai s t j a n ( a n )	146	
541	German	*laistjanan	leisten	laistən	l ai s t ə n	l ai s t - ə n ( - - )	146	
542	English	*laistjanan	last	lɑːst	l ɑː s t	l ɑː s t - - - ( - - )	146	
543	Proto-Germanic	*knuppaz	*knuppaz	knuppaz	k n u pp a z	k n u pp ( a z )	147	
544	German	*knuppaz	Knopf	knɔp͡f	k n ɔ pf	k n ɔ pf ( - - )	147	
545	English	*knuppaz	knob	nɔb	n ɔ b	- n ɔ b ( - - )	147	
546	Dutch	*knuppaz	knoop	knoːp	k n oː p	k n oː p ( - - )	147	
547	Proto-Germanic	*stēnan	*stēnan	steːnan	s t eː n a n	s t eː - n ( a n )	148	
548	German	*stēnan	stehen	ʃteːən	ʃ t eː ə n	ʃ t eː ə n ( - - )	148	
549	Dutch	*stēnan	staan	staːn	s t aː n	s t aː - n ( - - )	148	
550	Proto-Germanic	*beudanan	*beudanan	beudanan	b eu d a n a n	b eu d a n ( a n )	149	
551	German	*beudanan	bieten	biːtən	b iː t ə n	b iː t ə n ( - - )	149	
552	English	*beudanan	bid	bɪd	b ɪ d	b ɪ d - - ( - - )	149	
553	Dutch	*beudanan	bieden	biːdə	b iː d ə	b iː d ə - ( - - )	149	
554	Proto-Germanic	*θunraz	*θunraz	θunraz	θ u n r a z	θ u n - - r ( a z )	150	
555	German	*θunraz	Donner	dɔnər	d ɔ n ə r	d ɔ n - ə r ( - - )	150	
556	English	*θunraz	thunder	θʌndər	θ ʌ n d ə r	θ ʌ n d ə r ( - - )	150	
557	Dutch	*θunraz	donder	dɔndər	d ɔ n d ə r	d ɔ n d ə r ( - - )	150	
558	Proto-Germanic	*skuman	*skuman	skuman	s k u m a n	s k u m ( a n )	151	
559	German	*skuman	Schaum	ʃaum	ʃ au m	ʃ - au m ( - - )	151	
560	Dutch	*skuman	schuim	sxœym	s x œy m	s x œy m ( - - )	151	
561	Proto-Germanic	*klembanan	*klembanan	klembanan	k l e m b a n a n	k l e m b a n a n	152	
562	German	*klembanan	klimmen	klɪmən	k l ɪ m ə n	k l ɪ m - - - ə n	152	
563	English	*klembanan	climb	klaɪm	k l aɪ m	k l aɪ m - - - - -	152	
564	Dutch	*klembanan	klimmen	klɪmə	k l ɪ m ə	k l ɪ m - - - ə -	152	
565	Proto-Germanic	*rastō	*rastō	rastoː	r a s t oː	r a s t ( oː )	153	
566	German	*rastō	Rast	rast	r a s t	r a s t ( - )	153	
567	English	*rastō	rest	rɛst	r ɛ s t	r ɛ s t ( - )	153	
568	Proto-Germanic	*garnan	*garnan	garnan	g a r n a n	g a r n ( a n )	154	
569	German	*garnan	Garn	ɡarn	g a r n	g a r n ( - - )	154	
570	English	*garnan	yarn	jɑːn	j ɑː n	j ɑː - n ( - - )	154	
571	Dutch	*garnan	garen	xaːrə	x aː r ə	x aː r - ( ə - )	154	
572	Proto-Germanic	*xaiθiz	*xaiθiz	xaiθiz	x ai θ i z	x ai θ i ( z )	155	
573	German	*xaiθiz	Heide	haidə	h ai d ə	h ai d ə ( - )	155	
574	English	*xaiθiz	heath	hiːθ	h iː θ	h iː θ - ( - )	155	
575	Proto-Germanic	*spannō	*spannō	spannoː	s p a nn oː	s p a nn oː	156	
576	German	*spannō	Spanne	ʃpanə	ʃ p a n ə	ʃ p a n ə	156	
577	English	*spannō	span	spæn	s p æ n	s p æ n -	156	
578	Proto-Germanic	*natilōn	*natilōn	natiloːn	n a t i l oː n	n a t i l ( oː n )	157	
579	German	*natilōn	Nessel	nɛsəl	n ɛ s ə l	n ɛ s ə l ( - - )	157	
580	English	*natilōn	nettle	nɛtḷ	n ɛ t ə l	n ɛ t ə l ( - - )	157	
581	Proto-Germanic	*xenkōjanan	*xenkōjanan	xenkoːjanan	x e n k oː j a n a n	x e n k oː j a n ( a n )	158	
582	German	*xenkōjanan	hinken	hɪŋkən	h ɪ ŋ k ə n	h ɪ ŋ k - - ə n ( - - )	158	
583	Dutch	*xenkōjanan	hinken	hɪŋkə	h ɪ ŋ k ə	h ɪ ŋ k - - ə - ( - - )	158	
584	Proto-Germanic	*dēdiz	*dēdiz	deːdiz	d eː d i z	d eː d ( i z )	159	
585	German	*dēdiz	Tat	taːt	t aː t	t aː t ( - - )	159	
586	English	*dēdiz	deed	diːd	d iː d	d iː d ( - - )	159	
587	Dutch	*dēdiz	daad	daːt	d aː t	d aː t ( - - )	159	
588	Proto-Germanic	*bendanan	*bendanan	bendanan	b e n d a n a n	b e n d a n ( a n )	160	
589	German	*bendanan	binden	bɪndən	b ɪ n d ə n	b ɪ n d ə n ( - - )	160	
590	English	*bendanan	bind	baɪnd	b aɪ n d	b aɪ n d - - ( - - )	160	
591	Dutch	*bendanan	binden	bɪndə	b ɪ n d ə	b ɪ n d ə - ( - - )	160	
592	Proto-Germanic	*θenxslō	*θenxslō	θenxsloː	θ e n x s l oː	θ e ( n ) x s - l ( oː )	161	
593	German	*θenxslō	Deichsel	daiksəl	d ai k s ə l	d ai ( - ) k s ə l ( - )	161	
594	Dutch	*θenxslō	dissel	dɪsəl	d ɪ s ə l	d ɪ ( - ) - s ə l ( - )	161	BOR
595	Proto-Germanic	*skuldrō	*skuldrō	skuldroː	s k u l d r oː	s k u l d - r ( oː )	162	
