ID	DOCULECT	GLOTTOCODE	COGID	PARAMETER	VALUE	SEGMENTS	ALIGNMENT	SOURCE
2556	Spanish	stan1288	1277	repullu-rebollo	rebollo	r e β o ʎ o	r e β o ʎ o	Hartman2003
2557	Latin	lati1261	1278	resemināre-resembrar	resemināre	ɾ e ʂ e m i n ɑː ɾ e	ɾ e ʂ e m i n - ɑː ɾ e	Hartman2003
2558	Spanish	stan1288	1278	resemināre-resembrar	resembrar	r e ʂ e m b ɾ ɑ ɾ	r e ʂ e m - b ɾ ɑ ɾ -	Hartman2003
2559	Latin	lati1261	1279	resīna-resina	resīna	ɾ e ʂ iː n ɑ	ɾ e ʂ iː n ɑ	Hartman2003
2560	Spanish	stan1288	1279	resīna-resina	resina	r e ʂ i n ɑ	r e ʂ i n ɑ	Hartman2003
2561	Latin	lati1261	1280	restāre-restar	restāre	ɾ e ʂ t ɑː ɾ e	ɾ e ʂ t ɑː ɾ e	Hartman2003
2562	Spanish	stan1288	1280	restāre-restar	restar	r e s t ɑ ɾ	r e s t ɑ ɾ -	Hartman2003
2563	Latin	lati1261	1281	restagnāre-restañar	restagnāre	ɾ e ʂ t ɑ g n ɑː ɾ e	ɾ e ʂ t ɑ g n ɑː ɾ e	Hartman2003
2564	Spanish	stan1288	1281	restagnāre-restañar	restañar	r e s t ɑ ɲ ɑ ɾ	r e s t ɑ - ɲ ɑ ɾ -	Hartman2003
2565	Latin	lati1261	1282	retina-rienda	retina	ɾ e t i n ɑ	ɾ - e - t i n ɑ	Hartman2003
2566	Spanish	stan1288	1282	retina-rienda	rienda	r j e n d ɑ	r j e n d - - ɑ	Hartman2003
2567	Latin	lati1261	1283	retroculu-redrojo	retroculu	ɾ e t ɾ o k u l u	ɾ e t ɾ o k u l u	Hartman2003
2568	Spanish	stan1288	1283	retroculu-redrojo	redrojo	r e ð ɾ o x o	r e ð ɾ o - - x o	Hartman2003
2569	Latin	lati1261	1284	revindicāre-revengar	revindicāre	ɾ e w i n d i k ɑː ɾ e	ɾ e w i n d i k ɑː ɾ e	Hartman2003
2570	Spanish	stan1288	1284	revindicāre-revengar	revengar	r e β e ŋ g ɑ ɾ	r e β e ŋ - - g ɑ ɾ -	Hartman2003
2571	Latin	lati1261	1285	rīdeat-ría	rīdeat	ɾ iː d eɑ t	ɾ iː d - eɑ t	Hartman2003
2572	Spanish	stan1288	1285	rīdeat-ría	ría	r iɑ	r iɑ - - - -	Hartman2003
2573	Latin	lati1261	1286	rīmāre-rimar	rīmāre	ɾ iː m ɑː ɾ e	ɾ iː m ɑː ɾ e	Hartman2003
2574	Spanish	stan1288	1286	rīmāre-rimar	rimar	r i m ɑ ɾ	r i m ɑ ɾ -	Hartman2003
2575	Latin	lati1261	1287	rīpa-riba	rīpa	ɾ iː p ɑ	ɾ iː p ɑ	Hartman2003
2576	Spanish	stan1288	1287	rīpa-riba	riba	r i β ɑ	r i β ɑ	Hartman2003
2577	Latin	lati1261	1288	rīparia-ribera	rīparia	ɾ iː p ɑ ɾ iɑ	ɾ iː p ɑ - ɾ - iɑ	Hartman2003
2578	Spanish	stan1288	1288	rīparia-ribera	ribera	r i β e ɾ ɑ	r i β e - ɾ - ɑ	Hartman2003
2579	Latin	lati1261	1289	rīsa-risa	rīsa	ɾ iː ʂ ɑ	ɾ iː ʂ ɑ	Hartman2003
2580	Spanish	stan1288	1289	rīsa-risa	risa	r i ʂ ɑ	r i ʂ ɑ	Hartman2003
2581	Latin	lati1261	1290	rigidu-rijo	rigidu	ɾ i g i d u	ɾ i g i d u	Hartman2003
2582	Spanish	stan1288	1290	rigidu-rijo	rijo	r i ʝ o	r i - - ʝ o	Hartman2003
2583	Latin	lati1261	1291	rōdēre-roer	rōdēre	ɾ oː d eː ɾ e	ɾ oː d eː ɾ e	Hartman2003
2584	Spanish	stan1288	1291	rōdēre-roer	roer	r o e ɾ	r o - e ɾ -	Hartman2003
2585	Latin	lati1261	1292	rōstru-rostro	rōstru	ɾ oː ʂ t ɾ u	ɾ oː ʂ t ɾ u	Hartman2003
2586	Spanish	stan1288	1292	rōstru-rostro	rostro	r o s t ɾ o	r o s t ɾ o	Hartman2003
2587	Latin	lati1261	1293	robīgine-robín	robīgine	ɾ o b iː g i n e	ɾ o b iː g - i n e	Hartman2003
2588	Spanish	stan1288	1293	robīgine-robín	robín	r o β i n	r o β i - - - n -	Hartman2003
2589	Latin	lati1261	1294	roborāre-robrar	roborāre	ɾ o b o ɾ ɑː ɾ e	ɾ o b o ɾ ɑː ɾ e	Hartman2003
2590	Spanish	stan1288	1294	roborāre-robrar	robrar	r o β ɾ ɑ ɾ	r o β - ɾ ɑ ɾ -	Hartman2003
2591	Latin	lati1261	1295	roborētu-robredo	roborētu	ɾ o b o ɾ eː t u	ɾ o b o ɾ eː t u	Hartman2003
2592	Spanish	stan1288	1295	roborētu-robredo	robredo	r o β ɾ e ð o	r o β - ɾ e ð o	Hartman2003
2593	Latin	lati1261	1296	romānu-romano	romānu	ɾ o m ɑː n u	ɾ o m ɑː n u	Hartman2003
2594	Spanish	stan1288	1296	romānu-romano	romano	r o m ɑ n o	r o m ɑ n o	Hartman2003
2595	Latin	lati1261	1297	romanice-romance	romanice	ɾ o m ɑ n i k e	ɾ o m ɑ n i k - e	Hartman2003
2596	Spanish	stan1288	1297	romanice-romance	romance	r o m ɑ n θ e	r o m ɑ n - θ - e	Hartman2003
2597	Latin	lati1261	1298	rota-rueda	rota	ɾ o t ɑ	ɾ - o t ɑ	Hartman2003
2598	Spanish	stan1288	1298	rota-rueda	rueda	r w e ð ɑ	r w e ð ɑ	Hartman2003
2599	Latin	lati1261	1299	rotāre-rodar	rotāre	ɾ o t ɑː ɾ e	ɾ o t ɑː ɾ e	Hartman2003
2600	Spanish	stan1288	1299	rotāre-rodar	rodar	r o ð ɑ ɾ	r o ð ɑ ɾ -	Hartman2003
2601	Latin	lati1261	1300	rūgīre-ruir	rūgīre	ɾ uː g iː ɾ e	ɾ - uː g - iː ɾ e	Hartman2003
2602	Spanish	stan1288	1300	rūgīre-ruir	ruir	r w i ɾ	r w i - - - ɾ -	Hartman2003
2603	Latin	lati1261	1301	rūgītu-ruido	rūgītu	ɾ uː g iː t u	ɾ - uː g - iː t u	Hartman2003
2604	Spanish	stan1288	1301	rūgītu-ruido	ruido	r w i ð o	r w i - - - ð o	Hartman2003
2605	Latin	lati1261	1302	rūmigāre-rumiar	rūmigāre	ɾ uː m i g ɑː ɾ e	ɾ uː m - i g ɑː ɾ e	Hartman2003
2606	Spanish	stan1288	1302	rūmigāre-rumiar	rumiar	r u m j ɑ ɾ	r u m j - - ɑ ɾ -	Hartman2003
2607	Latin	lati1261	1303	rūmōre-rumor	rūmōre	ɾ uː m oː ɾ e	ɾ uː m oː ɾ e	Hartman2003
2608	Spanish	stan1288	1303	rūmōre-rumor	rumor	r u m o ɾ	r u m o ɾ -	Hartman2003
2609	Latin	lati1261	1304	rūscu-rusco	rūscu	ɾ uː ʂ k u	ɾ uː ʂ k u	Hartman2003
2610	Spanish	stan1288	1304	rūscu-rusco	rusco	r u ʂ k o	r u ʂ k o	Hartman2003
2611	Latin	lati1261	1305	rūta-ruda	rūta	ɾ uː t ɑ	ɾ uː t ɑ	Hartman2003
2612	Spanish	stan1288	1305	rūta-ruda	ruda	r u ð ɑ	r u ð ɑ	Hartman2003
2613	Latin	lati1261	1306	rubella-rubilla	rubella	ɾ u b e lː ɑ	ɾ u b - e lː ɑ	Hartman2003
2614	Spanish	stan1288	1306	rubella-rubilla	rubilla	r u β i ʎ ɑ	r u β - i ʎ ɑ	Hartman2003
2615	Latin	lati1261	1307	rubeu-rubio	rubeu	ɾ u b eu	ɾ u b - eu	Hartman2003
2616	Spanish	stan1288	1307	rubeu-rubio	rubio	r u β j o	r u β j o	Hartman2003
2617	Latin	lati1261	1308	rumpēre-romper	rumpēre	ɾ u m p eː ɾ e	ɾ u m p eː ɾ e	Hartman2003
2618	Spanish	stan1288	1308	rumpēre-romper	romper	r o m p e ɾ	r o m p e ɾ -	Hartman2003
2619	Latin	lati1261	1309	rupta-rota	rupta	ɾ u p t ɑ	ɾ u p t ɑ	Hartman2003
2620	Spanish	stan1288	1309	rupta-rota	rota	r o t ɑ	r o - t ɑ	Hartman2003
2621	Latin	lati1261	1310	ruptiāre-rozar	ruptiāre	ɾ u p t i ɑː ɾ e	ɾ u p t - i ɑː ɾ e	Hartman2003
2622	Spanish	stan1288	1310	ruptiāre-rozar	rozar	r o θ ɑ ɾ	r o - θ - - ɑ ɾ -	Hartman2003
2623	Latin	lati1261	1311	ruptu-roto	ruptu	ɾ u p t u	ɾ u p t u	Hartman2003
2624	Spanish	stan1288	1311	ruptu-roto	roto	r o t o	r o - t o	Hartman2003
2625	Latin	lati1261	1312	ruptūra-rotura	ruptūra	ɾ u p t uː ɾ ɑ	ɾ u p t uː ɾ ɑ	Hartman2003
2626	Spanish	stan1288	1312	ruptūra-rotura	rotura	r o t u ɾ ɑ	r o - t u ɾ ɑ	Hartman2003
2627	Latin	lati1261	1313	sāna-sana	sāna	ʂ ɑː n ɑ	ʂ ɑː n ɑ	Hartman2003
2628	Spanish	stan1288	1313	sāna-sana	sana	ʂ ɑ n ɑ	ʂ ɑ n ɑ	Hartman2003
2629	Latin	lati1261	1314	sānāre-sanar	sānāre	ʂ ɑː n ɑː ɾ e	ʂ ɑː n ɑː ɾ e	Hartman2003
2630	Spanish	stan1288	1314	sānāre-sanar	sanar	ʂ ɑ n ɑ ɾ	ʂ ɑ n ɑ ɾ -	Hartman2003
2631	Latin	lati1261	1315	sabana-sábana	sabana	ʂ ɑ b ɑ n ɑ	ʂ ɑ b ɑ n ɑ	Hartman2003
2632	Spanish	stan1288	1315	sabana-sábana	sábana	ʂ ɑ β ɑ n ɑ	ʂ ɑ β ɑ n ɑ	Hartman2003
2633	Latin	lati1261	1316	sabbatu-sábado	sabbatu	ʂ ɑ bː ɑ t u	ʂ ɑ bː ɑ t u	Hartman2003
2634	Spanish	stan1288	1316	sabbatu-sábado	sábado	ʂ ɑ β ɑ ð o	ʂ ɑ β ɑ ð o	Hartman2003
2635	Latin	lati1261	1317	sabīna-sabina	sabīna	ʂ ɑ b iː n ɑ	ʂ ɑ b iː n ɑ	Hartman2003
2636	Spanish	stan1288	1317	sabīna-sabina	sabina	ʂ ɑ β i n ɑ	ʂ ɑ β i n ɑ	Hartman2003
2637	Latin	lati1261	1318	sabulōne-sablón	sabulōne	ʂ ɑ b u l oː n e	ʂ ɑ b u l oː n e	Hartman2003
2638	Spanish	stan1288	1318	sabulōne-sablón	sablón	ʂ ɑ β l o n	ʂ ɑ β - l o n -	Hartman2003
2639	Latin	lati1261	1319	saccāre-sacar	saccāre	ʂ ɑ kː ɑː ɾ e	ʂ ɑ kː ɑː ɾ e	Hartman2003
2640	Spanish	stan1288	1319	saccāre-sacar	sacar	ʂ ɑ k ɑ ɾ	ʂ ɑ k ɑ ɾ -	Hartman2003
2641	Latin	lati1261	1320	saccu-saco	saccu	ʂ ɑ kː u	ʂ ɑ kː u	Hartman2003
2642	Spanish	stan1288	1320	saccu-saco	saco	ʂ ɑ k o	ʂ ɑ k o	Hartman2003
2643	Latin	lati1261	1321	saetāceu-sedazo	saetāceu	ʂ ɑ j t ɑː k eu	ʂ ɑ j t ɑː k - eu	Hartman2003
2644	Spanish	stan1288	1321	saetāceu-sedazo	sedazo	ʂ e ð ɑ θ o	ʂ e - ð ɑ θ - o	Hartman2003
2645	Latin	lati1261	1322	sagīna-saina	sagīna	ʂ ɑ g iː n ɑ	ʂ ɑ g iː n ɑ	Hartman2003
2646	Spanish	stan1288	1322	sagīna-saina	saina	ʂ ɑi n ɑ	ʂ ɑi - - n ɑ	Hartman2003
2647	Latin	lati1261	1323	sagitta-saeta	sagitta	ʂ ɑ g i tː ɑ	ʂ ɑ g i tː ɑ	Hartman2003
2648	Spanish	stan1288	1323	sagitta-saeta	saeta	ʂ ɑ e t ɑ	ʂ ɑ - e t ɑ	Hartman2003
2649	Latin	lati1261	1324	salāre-salar	salāre	ʂ ɑ l ɑː ɾ e	ʂ ɑ l ɑː ɾ e	Hartman2003
2650	Spanish	stan1288	1324	salāre-salar	salar	ʂ ɑ l ɑ ɾ	ʂ ɑ l ɑ ɾ -	Hartman2003
2651	Latin	lati1261	1325	salamandra-salamandra	salamandra	ʂ ɑ l ɑ m ɑ n d ɾ ɑ	ʂ ɑ l ɑ m ɑ n d ɾ ɑ	Hartman2003
2652	Spanish	stan1288	1325	salamandra-salamandra	salamandra	ʂ ɑ l ɑ m ɑ n d ɾ ɑ	ʂ ɑ l ɑ m ɑ n d ɾ ɑ	Hartman2003
2653	Latin	lati1261	1326	sale-sal	sale	ʂ ɑ l e	ʂ ɑ l e	Hartman2003
2654	Spanish	stan1288	1326	sale-sal	sal	ʂ ɑ l	ʂ ɑ l -	Hartman2003
2655	Latin	lati1261	1327	salīna-salina	salīna	ʂ ɑ l iː n ɑ	ʂ ɑ l iː n ɑ	Hartman2003
2656	Spanish	stan1288	1327	salīna-salina	salina	ʂ ɑ l i n ɑ	ʂ ɑ l i n ɑ	Hartman2003
2657	Latin	lati1261	1328	salīnu-salino	salīnu	ʂ ɑ l iː n u	ʂ ɑ l iː n u	Hartman2003
2658	Spanish	stan1288	1328	salīnu-salino	salino	ʂ ɑ l i n o	ʂ ɑ l i n o	Hartman2003
2659	Latin	lati1261	1329	salīre-salir	salīre	ʂ ɑ l iː ɾ e	ʂ ɑ l iː ɾ e	Hartman2003
2660	Spanish	stan1288	1329	salīre-salir	salir	ʂ ɑ l i ɾ	ʂ ɑ l i ɾ -	Hartman2003
2661	Latin	lati1261	1330	salīva-saliva	salīva	ʂ ɑ l iː w ɑ	ʂ ɑ l iː w ɑ	Hartman2003
2662	Spanish	stan1288	1330	salīva-saliva	saliva	ʂ ɑ l i β ɑ	ʂ ɑ l i β ɑ	Hartman2003
2663	Latin	lati1261	1331	salice-sauce	salice	ʂ ɑ l i k e	ʂ ɑ l i k - e	Hartman2003
2664	Spanish	stan1288	1331	salice-sauce	sauce	ʂ ɑ w θ e	ʂ ɑ w - θ - e	Hartman2003
2665	Latin	lati1261	1332	salicētu-saucedo	salicētu	ʂ ɑ l i k eː t u	ʂ ɑ l i k - eː t u	Hartman2003
2666	Spanish	stan1288	1332	salicētu-saucedo	saucedo	ʂ ɑ w θ e ð o	ʂ ɑ w - θ - e ð o	Hartman2003
2667	Latin	lati1261	1333	salmōne-salmón	salmōne	ʂ ɑ l m oː n e	ʂ ɑ l m oː n e	Hartman2003
2668	Spanish	stan1288	1333	salmōne-salmón	salmón	ʂ ɑ l m o n	ʂ ɑ l m o n -	Hartman2003
2669	Latin	lati1261	1334	salmuria-salmuera	salmuria	ʂ ɑ l m u ɾ iɑ	ʂ ɑ l m - u - ɾ - iɑ	Hartman2003
2670	Spanish	stan1288	1334	salmuria-salmuera	salmuera	ʂ ɑ l m w e ɾ ɑ	ʂ ɑ l m w e - ɾ - ɑ	Hartman2003
2671	Latin	lati1261	1335	saltu-soto	saltu	ʂ ɑ l t u	ʂ ɑ l t u	Hartman2003
2672	Spanish	stan1288	1335	saltu-soto	soto	ʂ o t o	ʂ o - t o	Hartman2003
2673	Latin	lati1261	1336	salūte-salud	salūte	ʂ ɑ l uː t e	ʂ ɑ l uː t e	Hartman2003
2674	Spanish	stan1288	1336	salūte-salud	salud	ʂ ɑ l u ð	ʂ ɑ l u ð -	Hartman2003
2675	Latin	lati1261	1337	salubre-salobre	salubre	ʂ ɑ l u b ɾ e	ʂ ɑ l u b ɾ e	Hartman2003
2676	Spanish	stan1288	1337	salubre-salobre	salobre	ʂ ɑ l o β ɾ e	ʂ ɑ l o β ɾ e	Hartman2003
2677	Latin	lati1261	1338	sanctificāre-santiguar	sanctificāre	ʂ ɑ n k t i f i k ɑː ɾ e	ʂ ɑ n k t i f i k ɑː ɾ e	Hartman2003
2678	Spanish	stan1288	1338	sanctificāre-santiguar	santiguar	ʂ ɑ n t i ɣʷ ɑ ɾ	ʂ ɑ n - t i - - ɣʷ ɑ ɾ -	Hartman2003
2679	Latin	lati1261	1339	sanctu-santo	sanctu	ʂ ɑ n k t u	ʂ ɑ n k t u	Hartman2003
2680	Spanish	stan1288	1339	sanctu-santo	santo	ʂ ɑ n t o	ʂ ɑ n - t o	Hartman2003
2681	Latin	lati1261	1340	sanguīnu-sanguino	sanguīnu	ʂ ɑ n gʷ iː n u	ʂ ɑ n gʷ iː n u	Hartman2003
2682	Spanish	stan1288	1340	sanguīnu-sanguino	sanguino	ʂ ɑ ŋ g i n o	ʂ ɑ ŋ g i n o	Hartman2003
2683	Latin	lati1261	1341	sanguināre-sangrar	sanguināre	ʂ ɑ n gʷ i n ɑː ɾ e	ʂ ɑ n gʷ i n ɑː ɾ e	Hartman2003
2684	Spanish	stan1288	1341	sanguināre-sangrar	sangrar	ʂ ɑ ŋ g ɾ ɑ ɾ	ʂ ɑ ŋ g - ɾ ɑ ɾ -	Hartman2003
2685	Latin	lati1261	1342	sanguine-sangre	sanguine	ʂ ɑ n gʷ i n e	ʂ ɑ n gʷ i n e	Hartman2003
2686	Spanish	stan1288	1342	sanguine-sangre	sangre	ʂ ɑ ŋ g ɾ e	ʂ ɑ ŋ g - ɾ e	Hartman2003
2687	Latin	lati1261	1343	sanguineu-sangueño	sanguineu	ʂ ɑ n gʷ i n eu	ʂ ɑ n gʷ i n - eu	Hartman2003
2688	Spanish	stan1288	1343	sanguineu-sangueño	sangueño	ʂ ɑ ŋ g e ɲ o	ʂ ɑ ŋ g e ɲ - o	Hartman2003
2689	Latin	lati1261	1344	sanna-saña	sanna	ʂ ɑ nː ɑ	ʂ ɑ nː ɑ	Hartman2003
2690	Spanish	stan1288	1344	sanna-saña	saña	ʂ ɑ ɲ ɑ	ʂ ɑ ɲ ɑ	Hartman2003
2691	Latin	lati1261	1345	sanu-sano	sanu	ʂ ɑ n u	ʂ ɑ n u	Hartman2003
2692	Spanish	stan1288	1345	sanu-sano	sano	ʂ ɑ n o	ʂ ɑ n o	Hartman2003
2693	Latin	lati1261	1346	sapa-saba	sapa	ʂ ɑ p ɑ	ʂ ɑ p ɑ	Hartman2003
2694	Spanish	stan1288	1346	sapa-saba	saba	ʂ ɑ β ɑ	ʂ ɑ β ɑ	Hartman2003
2695	Latin	lati1261	1347	sapēre-saber	sapēre	ʂ ɑ p eː ɾ e	ʂ ɑ p eː ɾ e	Hartman2003
2696	Spanish	stan1288	1347	sapēre-saber	saber	ʂ ɑ β e ɾ	ʂ ɑ β e ɾ -	Hartman2003
2697	Latin	lati1261	1348	sapiat-sepa	sapiat	ʂ ɑ p iɑ t	ʂ ɑ - p - iɑ t	Hartman2003
2698	Spanish	stan1288	1348	sapiat-sepa	sepa	ʂ e p ɑ	ʂ e - p - ɑ -	Hartman2003
2699	Latin	lati1261	1349	sapōre-sabor	sapōre	ʂ ɑ p oː ɾ e	ʂ ɑ p oː ɾ e	Hartman2003
2700	Spanish	stan1288	1349	sapōre-sabor	sabor	ʂ ɑ β o ɾ	ʂ ɑ β o ɾ -	Hartman2003
2701	Latin	lati1261	1350	saporōsu-sabroso	saporōsu	ʂ ɑ p o ɾ oː ʂ u	ʂ ɑ p o ɾ oː ʂ u	Hartman2003
2702	Spanish	stan1288	1350	saporōsu-sabroso	sabroso	ʂ ɑ β ɾ o ʂ o	ʂ ɑ β - ɾ o ʂ o	Hartman2003
2703	Latin	lati1261	1351	sappīnu-sapino	sappīnu	ʂ ɑ pː iː n u	ʂ ɑ pː iː n u	Hartman2003
2704	Spanish	stan1288	1351	sappīnu-sapino	sapino	ʂ ɑ p i n o	ʂ ɑ p i n o	Hartman2003
2705	Latin	lati1261	1352	sarcellu-sarcillo	sarcellu	ʂ ɑ ɾ k e lː u	ʂ ɑ ɾ k - e lː u	Hartman2003
2706	Spanish	stan1288	1352	sarcellu-sarcillo	sarcillo	ʂ ɑ ɾ θ i ʎ o	ʂ ɑ ɾ θ - i ʎ o	Hartman2003
2707	Latin	lati1261	1353	sarda-sarda	sarda	ʂ ɑ ɾ d ɑ	ʂ ɑ ɾ d ɑ	Hartman2003
2708	Spanish	stan1288	1353	sarda-sarda	sarda	ʂ ɑ ɾ ð ɑ	ʂ ɑ ɾ ð ɑ	Hartman2003
2709	Latin	lati1261	1354	sardīna-sardina	sardīna	ʂ ɑ ɾ d iː n ɑ	ʂ ɑ ɾ d iː n ɑ	Hartman2003
2710	Spanish	stan1288	1354	sardīna-sardina	sardina	ʂ ɑ ɾ ð i n ɑ	ʂ ɑ ɾ ð i n ɑ	Hartman2003
2711	Latin	lati1261	1355	sardu-sardo	sardu	ʂ ɑ ɾ d u	ʂ ɑ ɾ d u	Hartman2003
2712	Spanish	stan1288	1355	sardu-sardo	sardo	ʂ ɑ ɾ ð o	ʂ ɑ ɾ ð o	Hartman2003
2713	Latin	lati1261	1356	sargu-sargo	sargu	ʂ ɑ ɾ g u	ʂ ɑ ɾ g u	Hartman2003
2714	Spanish	stan1288	1356	sargu-sargo	sargo	ʂ ɑ ɾ ɣ o	ʂ ɑ ɾ ɣ o	Hartman2003
2715	Latin	lati1261	1357	sarmentu-sarmiento	sarmentu	ʂ ɑ ɾ m e n t u	ʂ ɑ ɾ m - e n t u	Hartman2003
2716	Spanish	stan1288	1357	sarmentu-sarmiento	sarmiento	ʂ ɑ ɾ m j e n t o	ʂ ɑ ɾ m j e n t o	Hartman2003
2717	Latin	lati1261	1358	sarracēnu-sarraceno	sarracēnu	ʂ ɑ r ɑ k eː n u	ʂ ɑ r ɑ k - eː n u	Hartman2003
2718	Spanish	stan1288	1358	sarracēnu-sarraceno	sarraceno	ʂ ɑ r ɑ θ e n o	ʂ ɑ r ɑ θ - e n o	Hartman2003
2719	Latin	lati1261	1359	sarta-sarta	sarta	ʂ ɑ ɾ t ɑ	ʂ ɑ ɾ t ɑ	Hartman2003
2720	Spanish	stan1288	1359	sarta-sarta	sarta	ʂ ɑ ɾ t ɑ	ʂ ɑ ɾ t ɑ	Hartman2003
2721	Latin	lati1261	1360	sartāgine-sartén	sartāgine	ʂ ɑ ɾ t ɑː g i n e	ʂ ɑ ɾ t ɑː g - i n e	Hartman2003
2722	Spanish	stan1288	1360	sartāgine-sartén	sartén	ʂ ɑ ɾ t e n	ʂ ɑ ɾ t e - - - n -	Hartman2003
2723	Latin	lati1261	1361	satiōne-sazón	satiōne	ʂ ɑ t i oː n e	ʂ ɑ t - i oː n e	Hartman2003
2724	Spanish	stan1288	1361	satiōne-sazón	sazón	ʂ ɑ θ o n	ʂ ɑ θ - - o n -	Hartman2003
2725	Latin	lati1261	1362	sauru-soro	sauru	ʂ ɑ w ɾ u	ʂ ɑ w ɾ u	Hartman2003
2726	Spanish	stan1288	1362	sauru-soro	soro	ʂ o ɾ o	ʂ o - ɾ o	Hartman2003
2727	Latin	lati1261	1363	scāla-escala	scāla	ʂ k ɑː l ɑ	- ʂ k ɑː l ɑ	Hartman2003
2728	Spanish	stan1288	1363	scāla-escala	escala	e ʂ k ɑ l ɑ	e ʂ k ɑ l ɑ	Hartman2003
2729	Latin	lati1261	1364	scabrōsu-escabroso	scabrōsu	ʂ k ɑ b ɾ oː ʂ u	- ʂ k ɑ b ɾ oː ʂ u	Hartman2003
2730	Spanish	stan1288	1364	scabrōsu-escabroso	escabroso	e ʂ k ɑ β ɾ o ʂ o	e ʂ k ɑ β ɾ o ʂ o	Hartman2003
2731	Latin	lati1261	1365	scabru-escabro	scabru	ʂ k ɑ b ɾ u	- ʂ k ɑ b ɾ u	Hartman2003
2732	Spanish	stan1288	1365	scabru-escabro	escabro	e ʂ k ɑ β ɾ o	e ʂ k ɑ β ɾ o	Hartman2003
2733	Latin	lati1261	1366	scamellu-escamillo	scamellu	ʂ k ɑ m e lː u	- ʂ k ɑ m - e lː u	Hartman2003
2734	Spanish	stan1288	1366	scamellu-escamillo	escamillo	e ʂ k ɑ m i ʎ o	e ʂ k ɑ m - i ʎ o	Hartman2003
2735	Latin	lati1261	1367	scamnu-escaño	scamnu	ʂ k ɑ m n u	- ʂ k ɑ m n u	Hartman2003
2736	Spanish	stan1288	1367	scamnu-escaño	escaño	e ʂ k ɑ ɲ o	e ʂ k ɑ - ɲ o	Hartman2003
2737	Latin	lati1261	1368	scaru-escaro	scaru	ʂ k ɑ ɾ u	- ʂ k ɑ ɾ u	Hartman2003
2738	Spanish	stan1288	1368	scaru-escaro	escaro	e ʂ k ɑ ɾ o	e ʂ k ɑ ɾ o	Hartman2003
2739	Latin	lati1261	1369	schola-escuela	schola	ʂ k o l ɑ	- ʂ k - o l ɑ	Hartman2003
2740	Spanish	stan1288	1369	schola-escuela	escuela	e ʂ k w e l ɑ	e ʂ k w e l ɑ	Hartman2003
2741	Latin	lati1261	1370	scholāre-escolar	scholāre	ʂ k o l ɑː ɾ e	- ʂ k o l ɑː ɾ e	Hartman2003
2742	Spanish	stan1288	1370	scholāre-escolar	escolar	e ʂ k o l ɑ ɾ	e ʂ k o l ɑ ɾ -	Hartman2003
2743	Latin	lati1261	1371	scintilla-centella	scintilla	ʂ k i n t i lː ɑ	ʂ k - i n t i lː ɑ	Hartman2003
2744	Spanish	stan1288	1371	scintilla-centella	centella	θ e n t e ʎ ɑ	θ - - e n t e ʎ ɑ	Hartman2003
2745	Latin	lati1261	1372	scōpa-escoba	scōpa	ʂ k oː p ɑ	- ʂ k oː p ɑ	Hartman2003
2746	Spanish	stan1288	1372	scōpa-escoba	escoba	e ʂ k o β ɑ	e ʂ k o β ɑ	Hartman2003
2747	Latin	lati1261	1373	scōpāre-escobar	scōpāre	ʂ k oː p ɑː ɾ e	- ʂ k oː p ɑː ɾ e	Hartman2003
2748	Spanish	stan1288	1373	scōpāre-escobar	escobar	e ʂ k o β ɑ ɾ	e ʂ k o β ɑ ɾ -	Hartman2003
2749	Latin	lati1261	1374	scopaculu-escobajo	scopaculu	ʂ k o p ɑ k u l u	- ʂ k o p ɑ k u l u	Hartman2003
2750	Spanish	stan1288	1374	scopaculu-escobajo	escobajo	e ʂ k o β ɑ x o	e ʂ k o β ɑ - - x o	Hartman2003
2751	Latin	lati1261	1375	scorteu-escuerzo	scorteu	ʂ k o ɾ t eu	- ʂ k - o ɾ t - eu	Hartman2003
2752	Spanish	stan1288	1375	scorteu-escuerzo	escuerzo	e ʂ k w e ɾ θ o	e ʂ k w e ɾ θ - o	Hartman2003
2753	Latin	lati1261	1376	scrībānu-escribano	scrībānu	ʂ k ɾ iː b ɑː n u	- ʂ k ɾ iː b ɑː n u	Hartman2003
2754	Spanish	stan1288	1376	scrībānu-escribano	escribano	e ʂ k ɾ i β ɑ n o	e ʂ k ɾ i β ɑ n o	Hartman2003
2755	Latin	lati1261	1377	scrīniu-escriño	scrīniu	ʂ k ɾ iː n iu	- ʂ k ɾ iː n - iu	Hartman2003
2756	Spanish	stan1288	1377	scrīniu-escriño	escriño	e ʂ k ɾ i ɲ o	e ʂ k ɾ i ɲ - o	Hartman2003
2757	Latin	lati1261	1378	scrīptu-escrito	scrīptu	ʂ k ɾ iː p t u	- ʂ k ɾ iː p t u	Hartman2003
2758	Spanish	stan1288	1378	scrīptu-escrito	escrito	e ʂ k ɾ i t o	e ʂ k ɾ i - t o	Hartman2003
2759	Latin	lati1261	1379	scrīptūra-escritura	scrīptūra	ʂ k ɾ iː p t uː ɾ ɑ	- ʂ k ɾ iː p t uː ɾ ɑ	Hartman2003
2760	Spanish	stan1288	1379	scrīptūra-escritura	escritura	e ʂ k ɾ i t u ɾ ɑ	e ʂ k ɾ i - t u ɾ ɑ	Hartman2003
2761	Latin	lati1261	1380	scūtāriu-escudero	scūtāriu	ʂ k uː t ɑː ɾ iu	- ʂ k uː t ɑː - ɾ - iu	Hartman2003
