ID	DOCULECT	GLOTTOCODE	COGID	PARAMETER	VALUE	SEGMENTS	ALIGNMENT	SOURCE
146	Spanish	stan1288	72	aperīre-abrir	abrir	ɑ β ɾ i ɾ	ɑ β - ɾ i ɾ -	Hartman2003
147	Latin	lati1261	73	aperta-abierta	aperta	ɑ p e ɾ t ɑ	ɑ p - e ɾ t ɑ	Hartman2003
148	Spanish	stan1288	73	aperta-abierta	abierta	ɑ β j e ɾ t ɑ	ɑ β j e ɾ t ɑ	Hartman2003
149	Latin	lati1261	74	apertu-abierto	apertu	ɑ p e ɾ t u	ɑ p - e ɾ t u	Hartman2003
150	Spanish	stan1288	74	apertu-abierto	abierto	ɑ β j e ɾ t o	ɑ β j e ɾ t o	Hartman2003
151	Latin	lati1261	75	apicula-abeja	apicula	ɑ p i k u l ɑ	ɑ p i k u l ɑ	Hartman2003
152	Spanish	stan1288	75	apicula-abeja	abeja	ɑ β e x ɑ	ɑ β e - - x ɑ	Hartman2003
153	Latin	lati1261	76	apparāre-aparar	apparāre	ɑ pː ɑ ɾ ɑː ɾ e	ɑ pː ɑ ɾ ɑː ɾ e	Hartman2003
154	Spanish	stan1288	76	apparāre-aparar	aparar	ɑ p ɑ ɾ ɑ ɾ	ɑ p ɑ ɾ ɑ ɾ -	Hartman2003
155	Latin	lati1261	77	appariculu-aparejo	appariculu	ɑ pː ɑ ɾ i k u l u	ɑ pː ɑ ɾ i k u l u	Hartman2003
156	Spanish	stan1288	77	appariculu-aparejo	aparejo	ɑ p ɑ ɾ e x o	ɑ p ɑ ɾ e - - x o	Hartman2003
157	Latin	lati1261	78	appariu-apero	appariu	ɑ pː ɑ ɾ iu	ɑ pː ɑ - ɾ - iu	Hartman2003
158	Spanish	stan1288	78	appariu-apero	apero	ɑ p e ɾ o	ɑ p e - ɾ - o	Hartman2003
159	Latin	lati1261	79	appositu-apuesto	appositu	ɑ pː o ʂ i t u	ɑ pː - o ʂ i t u	Hartman2003
160	Spanish	stan1288	79	appositu-apuesto	apuesto	ɑ p w e s t o	ɑ p w e s - t o	Hartman2003
161	Latin	lati1261	80	aprīcu-abrigo	aprīcu	ɑ p ɾ iː k u	ɑ p ɾ iː k u	Hartman2003
162	Spanish	stan1288	80	aprīcu-abrigo	abrigo	ɑ β ɾ i ɣ o	ɑ β ɾ i ɣ o	Hartman2003
163	Latin	lati1261	81	aprīle-abril	aprīle	ɑ p ɾ iː l e	ɑ p ɾ iː l e	Hartman2003
164	Spanish	stan1288	81	aprīle-abril	abril	ɑ β ɾ i l	ɑ β ɾ i l -	Hartman2003
165	Latin	lati1261	82	aptāre-atar	aptāre	ɑ p t ɑː ɾ e	ɑ p t ɑː ɾ e	Hartman2003
166	Spanish	stan1288	82	aptāre-atar	atar	ɑ t ɑ ɾ	ɑ - t ɑ ɾ -	Hartman2003
167	Latin	lati1261	83	aqua-agua	aqua	ɑ kʷ ɑ	ɑ kʷ ɑ	Hartman2003
168	Spanish	stan1288	83	aqua-agua	agua	ɑ ɣʷ ɑ	ɑ ɣʷ ɑ	Hartman2003
169	Latin	lati1261	84	aquacea-aguaza	aquacea	ɑ kʷ ɑ k eɑ	ɑ kʷ ɑ k - eɑ	Hartman2003
170	Spanish	stan1288	84	aquacea-aguaza	aguaza	ɑ ɣʷ ɑ θ ɑ	ɑ ɣʷ ɑ θ - ɑ	Hartman2003
171	Latin	lati1261	85	aquatōre-aguador	aquatōre	ɑ kʷ ɑ t oː ɾ e	ɑ kʷ ɑ t oː ɾ e	Hartman2003
172	Spanish	stan1288	85	aquatōre-aguador	aguador	ɑ ɣʷ ɑ ð o ɾ	ɑ ɣʷ ɑ ð o ɾ -	Hartman2003
173	Latin	lati1261	86	ara-ara	ara	ɑ ɾ ɑ	ɑ ɾ ɑ	Hartman2003
174	Spanish	stan1288	86	ara-ara	ara	ɑ ɾ ɑ	ɑ ɾ ɑ	Hartman2003
175	Latin	lati1261	87	arāre-arar	arāre	ɑ ɾ ɑː ɾ e	ɑ ɾ ɑː ɾ e	Hartman2003
176	Spanish	stan1288	87	arāre-arar	arar	ɑ ɾ ɑ ɾ	ɑ ɾ ɑ ɾ -	Hartman2003
