grapheme	normalized	name	datasets	airstream	airstream2	articulation	articulation2	aspiration	aspiration2	breathiness	breathiness2	centrality	centrality2	contour	creakiness	creakiness2	duration	duration2	ejection	ejection2	end	friction	friction2	glottalization	glottalization2	height	height2	labialization	labialization2	laminality	laminality2	manner	manner2	middle	nasalization	nasalization2	palatalization	palatalization2	pharyngealization	pharyngealization2	phonation	phonation2	place	place2	preceding	preceding2	raising	raising2	relative_articulation	relative_articulation2	release	release2	rhotacization	rhotacization2	roundedness	roundedness2	rounding	rounding2	sound_type	start	stress	stress2	syllabicity	syllabicity2	tone	tone2	tongue_root	tongue_root2	velarization	velarization2	voicing	voicing2
aˠ	aˠ	velarized unrounded open front vowel	gld;jipa;panphon;phoible									front														open																													unrounded				vowel										velarized			
aˠː	aˠː	long velarized unrounded open front vowel	gld									front					long									open																													unrounded				vowel										velarized			
aˤ	aˤ	pharyngealized unrounded open front vowel	eurasian;gld;jipa;lapsyd;panphon;pbase;phoible									front														open													pharyngealized																unrounded				vowel													
aˤ:	aˤː	long pharyngealized unrounded open front vowel	jipa									front					long									open													pharyngealized																unrounded				vowel													
aˤʔ	aˤˀ	pharyngealized glottalized unrounded open front vowel	pbase									front												glottalized		open													pharyngealized																unrounded				vowel													
aˤˀ	aˤˀ	pharyngealized glottalized unrounded open front vowel	gld									front												glottalized		open													pharyngealized																unrounded				vowel													
aˤː	aˤː	long pharyngealized unrounded open front vowel	eurasian;gld;panphon;phoible									front					long									open													pharyngealized																unrounded				vowel													
ã	ã	nasalized unrounded open front vowel	apics;bdpa;bdproto;bipa;diachronica;eurasian;gld;jipa;lapsyd;napa;nidaba;saphon									front														open									nasalized																				unrounded				vowel													
ãẽ	ãẽ	from nasalized unrounded open front to nasalized unrounded close-mid front diphthong	gld;lapsyd;napa									front														close-mid									nasalized																				unrounded				diphthong													
ãi	ãi	from nasalized unrounded open front to unrounded close front diphthong	gld;napa									front														close									nasalized																				unrounded				diphthong													
ãĩ	ãĩ	from nasalized unrounded open front to nasalized unrounded close front diphthong	eurasian;gld;lapsyd;napa									front														close									nasalized																				unrounded				diphthong													
ãi̯	ãi̯	from nasalized unrounded open front to non-syllabic unrounded close front diphthong	gld									front														close									nasalized																				unrounded				diphthong				non-syllabic									
ãj	ãi̯	from nasalized unrounded open front to non-syllabic unrounded close front diphthong	eurasian									front														close									nasalized																				unrounded				diphthong				non-syllabic									
ão	ão	from nasalized unrounded open front to rounded close-mid back diphthong	gld;napa									back														close-mid									nasalized																				rounded				diphthong													
