grapheme	normalized	name	datasets	airstream	airstream2	articulation	articulation2	aspiration	aspiration2	breathiness	breathiness2	centrality	centrality2	contour	creakiness	creakiness2	duration	duration2	ejection	ejection2	end	friction	friction2	glottalization	glottalization2	height	height2	labialization	labialization2	laminality	laminality2	manner	manner2	middle	nasalization	nasalization2	palatalization	palatalization2	pharyngealization	pharyngealization2	phonation	phonation2	place	place2	preceding	preceding2	raising	raising2	relative_articulation	relative_articulation2	release	release2	rhotacization	rhotacization2	roundedness	roundedness2	rounding	rounding2	sound_type	start	stress	stress2	syllabicity	syllabicity2	tone	tone2	tongue_root	tongue_root2	velarization	velarization2	voicing	voicing2
ʃ̩ʲː	ʃ̩ʲː	syllabic palatalized long voiceless post-alveolar sibilant fricative consonant	nidaba	sibilant													long															fricative					palatalized				voiceless		post-alveolar																consonant				syllabic									
ʃ̩ʷ	ʃ̩ʷ	syllabic labialized voiceless post-alveolar sibilant fricative consonant	nidaba	sibilant																								labialized				fricative									voiceless		post-alveolar																consonant				syllabic									
ʃ̩ʷː	ʃ̩ʷː	syllabic labialized long voiceless post-alveolar sibilant fricative consonant	nidaba	sibilant													long											labialized				fricative									voiceless		post-alveolar																consonant				syllabic									
ʃ̩ː	ʃ̩ː	syllabic long voiceless post-alveolar sibilant fricative consonant	nidaba	sibilant													long															fricative									voiceless		post-alveolar																consonant				syllabic									
ʃ̫	ʃ̫	voiceless post-alveolar whistled-sibilant fricative consonant	bipa;lapsyd	whistled-sibilant																												fricative									voiceless		post-alveolar																consonant													
ʃ̺	ʃ̺	voiceless apical post-alveolar sibilant fricative consonant	diachronica;eurasian;jipa;panphon;phoible	sibilant																										apical		fricative									voiceless		post-alveolar																consonant													
ʃ̻	ʃ̻	voiceless laminal post-alveolar sibilant fricative consonant	panphon	sibilant																										laminal		fricative									voiceless		post-alveolar																consonant													
ʃ͇	ɹ̠̊˔	voiceless post-alveolar fricative consonant	phoible																													fricative									voiceless		post-alveolar																consonant													
ʃ͈	ʃ͈	strong voiceless post-alveolar sibilant fricative consonant	phoible	sibilant		strong																										fricative									voiceless		post-alveolar																consonant													
ʃ͈ʷ	ʃ͈ʷ	strong labialized voiceless post-alveolar sibilant fricative consonant	phoible	sibilant		strong																						labialized				fricative									voiceless		post-alveolar																consonant													
ʃ͈ː	ʃ͈ː	strong long voiceless post-alveolar sibilant fricative consonant	phoible	sibilant		strong											long															fricative									voiceless		post-alveolar																consonant													
ʃ͉	ʃ̚	unreleased voiceless post-alveolar sibilant fricative consonant	phoible	sibilant																												fricative									voiceless		post-alveolar								unreleased								consonant													
ʃᶣ	ʃᶣ	labio-palatalized voiceless post-alveolar sibilant fricative consonant	panphon	sibilant																												fricative					labio-palatalized				voiceless		post-alveolar																consonant													
ʃ’	ʃʼ	voiceless post-alveolar ejective sibilant fricative consonant	phoible	sibilant															ejective													fricative									voiceless		post-alveolar																consonant													
ʃ’ː	ʃʼː	long voiceless post-alveolar ejective sibilant fricative consonant	phoible	sibilant													long		ejective													fricative									voiceless		post-alveolar																consonant													
ʄ	ʄ	voiced palatal implosive consonant	bdproto;bipa;diachronica;eurasian;jipa;lapsyd;multimedia;panphon;pbase;phoible;ruhlen;sala;saphon																													implosive									voiced		palatal																consonant													
ʄʲ	ʄʲ	palatalized voiced palatal implosive consonant	panphon																													implosive					palatalized				voiced		palatal																consonant													
ʄʲʷ	ʄʲʷ	palatalized labialized voiced palatal implosive consonant	panphon																									labialized				implosive					palatalized				voiced		palatal																consonant													
ʄʲː	ʄʲː	palatalized long voiced palatal implosive consonant	panphon														long															implosive					palatalized				voiced		palatal																consonant													
ʄʷ	ʄʷ	labialized voiced palatal implosive consonant	panphon																									labialized				implosive									voiced		palatal																consonant													
ʄʷː	ʄʷː	labialized long voiced palatal implosive consonant	panphon														long											labialized				implosive									voiced		palatal																consonant													
ʄʷˠ	ʄʷˠ	labialized velarized voiced palatal implosive consonant	panphon																									labialized				implosive									voiced		palatal																consonant										velarized			
ʄʷˤ	ʄʷˤ	labialized pharyngealized voiced palatal implosive consonant	panphon																									labialized				implosive							pharyngealized		voiced		palatal																consonant													
ʄː	ʄː	long voiced palatal implosive consonant	panphon														long															implosive									voiced		palatal																consonant													
ʄːʲ	ʄʲː	palatalized long voiced palatal implosive consonant	panphon														long															implosive					palatalized				voiced		palatal																consonant													
ʄːʷ	ʄʷː	labialized long voiced palatal implosive consonant	panphon														long											labialized				implosive									voiced		palatal																consonant													
ʄːˠ	ʄˠː	velarized long voiced palatal implosive consonant	panphon														long															implosive									voiced		palatal																consonant										velarized			
ʄːˤ	ʄˤː	pharyngealized long voiced palatal implosive consonant	panphon														long															implosive							pharyngealized		voiced		palatal																consonant													
ʄˠ	ʄˠ	velarized voiced palatal implosive consonant	panphon																													implosive									voiced		palatal																consonant										velarized			
ʄˤ	ʄˤ	pharyngealized voiced palatal implosive consonant	panphon																													implosive							pharyngealized		voiced		palatal																consonant													
ʄˤː	ʄˤː	pharyngealized long voiced palatal implosive consonant	panphon														long															implosive							pharyngealized		voiced		palatal																consonant													
ʄ̃	ʄ̃	nasalized voiced palatal implosive consonant	panphon																													implosive			nasalized						voiced		palatal																consonant													
ʄ̃ː	ʄ̃ː	nasalized long voiced palatal implosive consonant	panphon														long															implosive			nasalized						voiced		palatal																consonant													
ʄ̃ˤ	ʄ̃ˤ	nasalized pharyngealized voiced palatal implosive consonant	panphon																													implosive			nasalized				pharyngealized		voiced		palatal																consonant													
ʄ̟	ʄ̟	advanced voiced palatal implosive consonant	bdproto;panphon																													implosive									voiced		palatal						advanced										consonant													
ʄ̠	ʄ̠	retracted voiced palatal implosive consonant	panphon																													implosive									voiced		palatal						retracted										consonant													
ʄ̤	ʄʱ	breathy voiced palatal implosive consonant	panphon							breathy																						implosive									voiced		palatal																consonant													
ʄ̤ʲ	ʄʲʱ	palatalized breathy voiced palatal implosive consonant	panphon							breathy																						implosive					palatalized				voiced		palatal																consonant													
ʄ̤ʷ	ʄʷʱ	labialized breathy voiced palatal implosive consonant	panphon							breathy																		labialized				implosive									voiced		palatal																consonant													
ʄ̤ː	ʄʱː	long breathy voiced palatal implosive consonant	panphon							breathy							long															implosive									voiced		palatal																consonant													
ʄ̤ˠ	ʄˠʱ	velarized breathy voiced palatal implosive consonant	panphon							breathy																						implosive									voiced		palatal																consonant										velarized			
ʄ̤ˤ	ʄˤʱ	pharyngealized breathy voiced palatal implosive consonant	panphon							breathy																						implosive							pharyngealized		voiced		palatal																consonant													
ʄ̥	ʄ̥	devoiced voiced palatal implosive consonant	lapsyd;pbase;phoible																													implosive									voiced		palatal																consonant												devoiced	
ʄ̰	ʄ̰	creaky voiced palatal implosive consonant	panphon												creaky																	implosive									voiced		palatal																consonant													
ʄ̰ʲ	ʄ̰ʲ	palatalized creaky voiced palatal implosive consonant	panphon												creaky																	implosive					palatalized				voiced		palatal																consonant													
ʄ̰ʷ	ʄ̰ʷ	labialized creaky voiced palatal implosive consonant	panphon												creaky													labialized				implosive									voiced		palatal																consonant													
ʄ̰ː	ʄ̰ː	long creaky voiced palatal implosive consonant	panphon												creaky		long															implosive									voiced		palatal																consonant													
ʄ̰ˠ	ʄ̰ˠ	velarized creaky voiced palatal implosive consonant	panphon												creaky																	implosive									voiced		palatal																consonant										velarized			
ʄ̰ˤ	ʄ̰ˤ	pharyngealized creaky voiced palatal implosive consonant	panphon												creaky																	implosive							pharyngealized		voiced		palatal																consonant													
ʄ̰̃	ʄ̰̃	nasalized creaky voiced palatal implosive consonant	panphon												creaky																	implosive			nasalized						voiced		palatal																consonant													
ʄᶣ	ʄᶣ	labio-palatalized voiced palatal implosive consonant	panphon																													implosive					labio-palatalized				voiced		palatal																consonant													
ʄⁿ	ʄⁿ	with-nasal-release voiced palatal implosive consonant	panphon																													implosive									voiced		palatal								with-nasal-release								consonant													
ʅ	ʅ	unrounded close with-friction central vowel	bdpa;beidasinitic;bipa;diachronica;eurasian									central										with-friction				close																													unrounded				vowel													
ʅ̹	ʅ̹	more-rounded unrounded close with-friction central vowel	eurasian									central										with-friction				close																													unrounded		more-rounded		vowel													
ʆ	ɕ	voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant																												fricative									voiceless		alveolo-palatal																consonant													
ʆ	ʃʲ	palatalized voiceless post-alveolar sibilant fricative consonant	bdproto;bipa;phoible	sibilant																												fricative					palatalized				voiceless		post-alveolar																consonant													
ʆʰ	ɕʰ	aspirated voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant				aspirated																								fricative									voiceless		alveolo-palatal																consonant													
ʆʰː	ɕʰː	aspirated long voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant				aspirated									long															fricative									voiceless		alveolo-palatal																consonant													
ʆʷ	ɕʷ	labialized voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant																								labialized				fricative									voiceless		alveolo-palatal																consonant													
ʆʷ	ʃʲʷ	palatalized labialized voiceless post-alveolar sibilant fricative consonant	phoible	sibilant																								labialized				fricative					palatalized				voiceless		post-alveolar																consonant													
ʆʷʰ	ɕʷʰ	labialized aspirated voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant				aspirated																				labialized				fricative									voiceless		alveolo-palatal																consonant													
ʆʷʰː	ɕʷʰː	labialized aspirated long voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant				aspirated									long											labialized				fricative									voiceless		alveolo-palatal																consonant													
ʆʷˀ	ɕʷˀ	labialized glottalized voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant																				glottalized				labialized				fricative									voiceless		alveolo-palatal																consonant													
ʆʷː	ɕʷː	labialized long voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant													long											labialized				fricative									voiceless		alveolo-palatal																consonant													
ʆʷˠ	ɕʷˠ	labialized velarized voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant																								labialized				fricative									voiceless		alveolo-palatal																consonant										velarized			
ʆʷˠʰ	ɕʷˠʰ	labialized velarized aspirated voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant				aspirated																				labialized				fricative									voiceless		alveolo-palatal																consonant										velarized			
ʆʷˤ	ɕʷˤ	labialized pharyngealized voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant																								labialized				fricative							pharyngealized		voiceless		alveolo-palatal																consonant													
ʆʷˤʰ	ɕʷˤʰ	labialized pharyngealized aspirated voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant				aspirated																				labialized				fricative							pharyngealized		voiceless		alveolo-palatal																consonant													
ʆʷ’	ʃʼʲʷ	palatalized labialized voiceless post-alveolar ejective sibilant fricative consonant	phoible	sibilant															ejective									labialized				fricative					palatalized				voiceless		post-alveolar																consonant													
ʆʸ	ɕʲ	palatalized voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant																												fricative					palatalized				voiceless		alveolo-palatal																consonant													
ʆʸʰ	ɕʲʰ	palatalized aspirated voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant				aspirated																								fricative					palatalized				voiceless		alveolo-palatal																consonant													
ʆʸʷ	ɕʲʷ	palatalized labialized voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant																								labialized				fricative					palatalized				voiceless		alveolo-palatal																consonant													
ʆʸʷʰ	ɕʲʷʰ	palatalized labialized aspirated voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant				aspirated																				labialized				fricative					palatalized				voiceless		alveolo-palatal																consonant													
ʆʸː	ɕʲː	palatalized long voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant													long															fricative					palatalized				voiceless		alveolo-palatal																consonant													
ʆˀ	ɕˀ	glottalized voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant																				glottalized								fricative									voiceless		alveolo-palatal																consonant													
ʆː	ɕː	long voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant													long															fricative									voiceless		alveolo-palatal																consonant													
ʆˠ	ɕˠ	velarized voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant																												fricative									voiceless		alveolo-palatal																consonant										velarized			
ʆˠʰ	ɕˠʰ	velarized aspirated voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant				aspirated																								fricative									voiceless		alveolo-palatal																consonant										velarized			
ʆˠː	ɕˠː	velarized long voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant													long															fricative									voiceless		alveolo-palatal																consonant										velarized			
ʆˤ	ɕˤ	pharyngealized voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant																												fricative							pharyngealized		voiceless		alveolo-palatal																consonant													
ʆˤʰ	ɕˤʰ	pharyngealized aspirated voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant				aspirated																								fricative							pharyngealized		voiceless		alveolo-palatal																consonant													
ʆˤː	ɕˤː	pharyngealized long voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant													long															fricative							pharyngealized		voiceless		alveolo-palatal																consonant													
ʆ̩	ɕ̩	syllabic voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant																												fricative									voiceless		alveolo-palatal																consonant				syllabic									
ʆ̩ʷ	ɕ̩ʷ	syllabic labialized voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant																								labialized				fricative									voiceless		alveolo-palatal																consonant				syllabic									
ʆ̩ʷː	ɕ̩ʷː	syllabic labialized long voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant													long											labialized				fricative									voiceless		alveolo-palatal																consonant				syllabic									
ʆ̩ʸ	ɕ̩ʲ	syllabic palatalized voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant																												fricative					palatalized				voiceless		alveolo-palatal																consonant				syllabic									
ʆ̩ʸː	ɕ̩ʲː	syllabic palatalized long voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant													long															fricative					palatalized				voiceless		alveolo-palatal																consonant				syllabic									
ʆ̩ː	ɕ̩ː	syllabic long voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant													long															fricative									voiceless		alveolo-palatal																consonant				syllabic									
ʆᶣ	ɕᶣ	labio-palatalized voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant																												fricative					labio-palatalized				voiceless		alveolo-palatal																consonant													
ʆᶣʰ	ɕᶣʰ	labio-palatalized aspirated voiceless alveolo-palatal sibilant fricative consonant	gld	sibilant				aspirated																								fricative					labio-palatalized				voiceless		alveolo-palatal																consonant													
ʆ’	ʃʼʲ	palatalized voiceless post-alveolar ejective sibilant fricative consonant	phoible	sibilant															ejective													fricative					palatalized				voiceless		post-alveolar																consonant													
ʇ̼	ʇ̼	voiced linguolabial click consonant	bipa																													click									voiced		linguolabial																consonant													
ʈ	ʈ	voiceless retroflex stop consonant	allenbai;apics;aus;bdpa;bdproto;bipa;diachronica;eurasian;gld;jipa;lapsyd;multimedia;nidaba;panphon;pbase;phoible;sala;saphon;segbo;wiki																													stop									voiceless		retroflex																consonant													
ʈr	ʈʳ	with-trilled-release voiceless retroflex stop consonant	phoible																													stop									voiceless		retroflex								with-trilled-release								consonant													
ʈr̠̥	ʈʳ	with-trilled-release voiceless retroflex stop consonant	phoible																													stop									voiceless		retroflex								with-trilled-release								consonant													
ʈɳ	ʈⁿ	with-nasal-release voiceless retroflex stop consonant	jipa;phoible																													stop									voiceless		retroflex								with-nasal-release								consonant													
ʈɳʷ	ʈⁿʷ	labialized with-nasal-release voiceless retroflex stop consonant	jipa																									labialized				stop									voiceless		retroflex								with-nasal-release								consonant													
ʈɹ̠̥	ʈʳ	with-trilled-release voiceless retroflex stop consonant	phoible																													stop									voiceless		retroflex								with-trilled-release								consonant													
ʈɻ̝̊	ʈɻ̝̊	voiceless retroflex affricate consonant	bipa																													affricate									voiceless		retroflex																consonant													
ʈɽ	ʈʳ	with-trilled-release voiceless retroflex stop consonant	eurasian;jipa;lapsyd;phoible																													stop									voiceless		retroflex								with-trilled-release								consonant													
ʈɽʰ	ʈʳʰ	aspirated with-trilled-release voiceless retroflex stop consonant	eurasian;jipa;phoible					aspirated																								stop									voiceless		retroflex								with-trilled-release								consonant													
ʈʂ	ʈʂ	voiceless retroflex sibilant affricate consonant	bdpa;bdproto;bipa;eurasian;jipa;lapsyd;pbase;phoible;saphon;segbo;wiki	sibilant																												affricate									voiceless		retroflex																consonant													
ʈʂʰ	ʈʂʰ	aspirated voiceless retroflex sibilant affricate consonant	bipa;eurasian;jipa;lapsyd;pbase;phoible;saphon;segbo	sibilant				aspirated																								affricate									voiceless		retroflex																consonant													
ʈʂʷ	ʈʂʷ	labialized voiceless retroflex sibilant affricate consonant	eurasian;phoible	sibilant																								labialized				affricate									voiceless		retroflex																consonant													
ʈʂʼ	ʈʂʼ	voiceless retroflex ejective sibilant affricate consonant	bdproto;bipa;eurasian;lapsyd;pbase;saphon;wiki	sibilant															ejective													affricate									voiceless		retroflex																consonant													
ʈʂː	ʈʂː	long voiceless retroflex sibilant affricate consonant	jipa;phoible	sibilant													long															affricate									voiceless		retroflex																consonant													
ʈʂ͇	ʈɻ̝̊	voiceless retroflex affricate consonant	phoible																													affricate									voiceless		retroflex																consonant													
ʈʂ͇ʰ	ʈʂʰ	aspirated voiceless retroflex sibilant affricate consonant	bdproto	sibilant				aspirated																								affricate									voiceless		retroflex																consonant													
ʈʂ’	ʈʂʼ	voiceless retroflex ejective sibilant affricate consonant	phoible	sibilant															ejective													affricate									voiceless		retroflex																consonant													
ʈʈ	ʈː	long voiceless retroflex stop consonant	jipa														long															stop									voiceless		retroflex																consonant													
ʈʈʰ	ʈʰː	aspirated long voiceless retroflex stop consonant	jipa					aspirated									long															stop									voiceless		retroflex																consonant													
ʈʰ	ʈʰ	aspirated voiceless retroflex stop consonant	allenbai;apics;bdproto;bipa;diachronica;eurasian;gld;jipa;lapsyd;nidaba;panphon;pbase;phoible;saphon;segbo					aspirated																								stop									voiceless		retroflex																consonant													
ʈʰʲ	ʈʲʰ	palatalized aspirated voiceless retroflex stop consonant	nidaba;panphon					aspirated																								stop					palatalized				voiceless		retroflex																consonant													
ʈʰʲː	ʈʲʰː	palatalized aspirated long voiceless retroflex stop consonant	nidaba					aspirated									long															stop					palatalized				voiceless		retroflex																consonant													
ʈʰʷ	ʈʷʰ	labialized aspirated voiceless retroflex stop consonant	nidaba;panphon					aspirated																				labialized				stop									voiceless		retroflex																consonant													
ʈʰʷː	ʈʷʰː	labialized aspirated long voiceless retroflex stop consonant	nidaba					aspirated									long											labialized				stop									voiceless		retroflex																consonant													
ʈʰː	ʈʰː	aspirated long voiceless retroflex stop consonant	bipa;gld;nidaba;panphon;phoible					aspirated									long															stop									voiceless		retroflex																consonant													
ʈʰː	ʈʲʰː	palatalized aspirated long voiceless retroflex stop consonant	jipa					aspirated									long															stop					palatalized				voiceless		retroflex																consonant													
ʈʰˠ	ʈˠʰ	velarized aspirated voiceless retroflex stop consonant	panphon					aspirated																								stop									voiceless		retroflex																consonant										velarized			
ʈʰˤ	ʈˤʰ	pharyngealized aspirated voiceless retroflex stop consonant	panphon					aspirated																								stop							pharyngealized		voiceless		retroflex																consonant													
ʈʰᶣ	ʈᶣʰ	labio-palatalized aspirated voiceless retroflex stop consonant	panphon					aspirated																								stop					labio-palatalized				voiceless		retroflex																consonant													
ʈʲ	ʈʲ	palatalized voiceless retroflex stop consonant	eurasian;nidaba;panphon;pbase																													stop					palatalized				voiceless		retroflex																consonant													
ʈʲʰ	ʈʲʰ	palatalized aspirated voiceless retroflex stop consonant	panphon;pbase					aspirated																								stop					palatalized				voiceless		retroflex																consonant													
ʈʲʷ	ʈʲʷ	palatalized labialized voiceless retroflex stop consonant	panphon																									labialized				stop					palatalized				voiceless		retroflex																consonant													
ʈʲʷʰ	ʈʲʷʰ	palatalized labialized aspirated voiceless retroflex stop consonant	panphon					aspirated																				labialized				stop					palatalized				voiceless		retroflex																consonant													
ʈʲʼ	ʈʼʲ	palatalized voiceless retroflex ejective stop consonant	panphon																ejective													stop					palatalized				voiceless		retroflex																consonant													
ʈʲː	ʈʲː	palatalized long voiceless retroflex stop consonant	nidaba;panphon														long															stop					palatalized				voiceless		retroflex																consonant													
ʈʷ	ʈʷ	labialized voiceless retroflex stop consonant	gld;jipa;nidaba;panphon;phoible																									labialized				stop									voiceless		retroflex																consonant													
ʈʷʰ	ʈʷʰ	labialized aspirated voiceless retroflex stop consonant	gld;panphon					aspirated																				labialized				stop									voiceless		retroflex																consonant													
ʈʷʰː	ʈʷʰː	labialized aspirated long voiceless retroflex stop consonant	gld;panphon					aspirated									long											labialized				stop									voiceless		retroflex																consonant													
ʈʷʼ	ʈʼʷ	labialized voiceless retroflex ejective stop consonant	panphon																ejective									labialized				stop									voiceless		retroflex																consonant													
ʈʷˀ	ʈʷˀ	labialized glottalized voiceless retroflex stop consonant	gld;panphon																					glottalized				labialized				stop									voiceless		retroflex																consonant													
ʈʷː	ʈʷː	labialized long voiceless retroflex stop consonant	gld;nidaba;panphon														long											labialized				stop									voiceless		retroflex																consonant													
ʈʷˠ	ʈʷˠ	labialized velarized voiceless retroflex stop consonant	gld;panphon																									labialized				stop									voiceless		retroflex																consonant										velarized			
ʈʷˠʰ	ʈʷˠʰ	labialized velarized aspirated voiceless retroflex stop consonant	gld;panphon					aspirated																				labialized				stop									voiceless		retroflex																consonant										velarized			
ʈʷˤ	ʈʷˤ	labialized pharyngealized voiceless retroflex stop consonant	gld;panphon																									labialized				stop							pharyngealized		voiceless		retroflex																consonant													
ʈʷˤʰ	ʈʷˤʰ	labialized pharyngealized aspirated voiceless retroflex stop consonant	gld;panphon					aspirated																				labialized				stop							pharyngealized		voiceless		retroflex																consonant													
ʈʷˤʼ	ʈʼʷˤ	labialized pharyngealized voiceless retroflex ejective stop consonant	panphon																ejective									labialized				stop							pharyngealized		voiceless		retroflex																consonant													
ʈʸ	ʈʲ	palatalized voiceless retroflex stop consonant	gld																													stop					palatalized				voiceless		retroflex																consonant													
ʈʸʰ	ʈʲʰ	palatalized aspirated voiceless retroflex stop consonant	gld					aspirated																								stop					palatalized				voiceless		retroflex																consonant													
ʈʸʰː	ʈʲʰː	palatalized aspirated long voiceless retroflex stop consonant	gld					aspirated									long															stop					palatalized				voiceless		retroflex																consonant													
ʈʸʷ	ʈʲʷ	palatalized labialized voiceless retroflex stop consonant	gld																									labialized				stop					palatalized				voiceless		retroflex																consonant													
ʈʸʷʰ	ʈʲʷʰ	palatalized labialized aspirated voiceless retroflex stop consonant	gld					aspirated																				labialized				stop					palatalized				voiceless		retroflex																consonant													
ʈʸː	ʈʲː	palatalized long voiceless retroflex stop consonant	gld														long															stop					palatalized				voiceless		retroflex																consonant													
ʈʼ	ʈʼ	voiceless retroflex ejective stop consonant	bdproto;diachronica;panphon;saphon																ejective													stop									voiceless		retroflex																consonant													
ʈʼʲ	ʈʼʲ	palatalized voiceless retroflex ejective stop consonant	panphon																ejective													stop					palatalized				voiceless		retroflex																consonant													
ʈʼʷ	ʈʼʷ	labialized voiceless retroflex ejective stop consonant	panphon																ejective									labialized				stop									voiceless		retroflex																consonant													
ʈʼː	ʈʼː	long voiceless retroflex ejective stop consonant	panphon														long		ejective													stop									voiceless		retroflex																consonant													
ʈˀ	ʈˀ	glottalized voiceless retroflex stop consonant	bdproto;gld;panphon;phoible																					glottalized								stop									voiceless		retroflex																consonant													
ʈː	ʈː	long voiceless retroflex stop consonant	bdproto;diachronica;gld;jipa;nidaba;panphon;phoible														long															stop									voiceless		retroflex																consonant													
ʈːʰ	ʈʰː	aspirated long voiceless retroflex stop consonant	bipa					aspirated									long															stop									voiceless		retroflex																consonant													
ʈːʲ	ʈʲː	palatalized long voiceless retroflex stop consonant	panphon														long															stop					palatalized				voiceless		retroflex																consonant													
ʈːʷ	ʈʷː	labialized long voiceless retroflex stop consonant	panphon														long											labialized				stop									voiceless		retroflex																consonant													
ʈːˠ	ʈˠː	velarized long voiceless retroflex stop consonant	panphon														long															stop									voiceless		retroflex																consonant										velarized			
ʈːˤ	ʈˤː	pharyngealized long voiceless retroflex stop consonant	panphon														long															stop							pharyngealized		voiceless		retroflex																consonant													
ʈˠ	ʈˠ	velarized voiceless retroflex stop consonant	gld;panphon																													stop									voiceless		retroflex																consonant										velarized			
ʈˠʰ	ʈˠʰ	velarized aspirated voiceless retroflex stop consonant	gld					aspirated																								stop									voiceless		retroflex																consonant										velarized			
ʈˠː	ʈˠː	velarized long voiceless retroflex stop consonant	gld														long															stop									voiceless		retroflex																consonant										velarized			
ʈˡ	ʈˡ	with-lateral-release voiceless retroflex stop consonant	gld;panphon																													stop									voiceless		retroflex								with-lateral-release								consonant													
ʈˤ	ʈˤ	pharyngealized voiceless retroflex stop consonant	gld;panphon																													stop							pharyngealized		voiceless		retroflex																consonant													
ʈˤʰ	ʈˤʰ	pharyngealized aspirated voiceless retroflex stop consonant	gld;panphon					aspirated																								stop							pharyngealized		voiceless		retroflex																consonant													
ʈˤʼ	ʈʼˤ	pharyngealized voiceless retroflex ejective stop consonant	panphon																ejective													stop							pharyngealized		voiceless		retroflex																consonant													
ʈˤː	ʈˤː	pharyngealized long voiceless retroflex stop consonant	gld;panphon														long															stop							pharyngealized		voiceless		retroflex																consonant													
ʈ̚	ʈ̚	unreleased voiceless retroflex stop consonant	gld																													stop									voiceless		retroflex								unreleased								consonant													
ʈ̟	ʈ̟	advanced voiceless retroflex stop consonant	panphon;phoible																													stop									voiceless		retroflex						advanced										consonant													
ʈ̠	ʈ̠	retracted voiceless retroflex stop consonant	panphon																													stop									voiceless		retroflex						retracted										consonant													
ʈ̩	ʈ̩	syllabic voiceless retroflex stop consonant	gld;nidaba																													stop									voiceless		retroflex																consonant				syllabic									
ʈ̩ʲ	ʈ̩ʲ	syllabic palatalized voiceless retroflex stop consonant	nidaba																													stop					palatalized				voiceless		retroflex																consonant				syllabic									
ʈ̩ʲː	ʈ̩ʲː	syllabic palatalized long voiceless retroflex stop consonant	nidaba														long															stop					palatalized				voiceless		retroflex																consonant				syllabic									
ʈ̩ʷ	ʈ̩ʷ	syllabic labialized voiceless retroflex stop consonant	gld;nidaba																									labialized				stop									voiceless		retroflex																consonant				syllabic									
ʈ̩ʷː	ʈ̩ʷː	syllabic labialized long voiceless retroflex stop consonant	gld;nidaba														long											labialized				stop									voiceless		retroflex																consonant				syllabic									
ʈ̩ʸ	ʈ̩ʲ	syllabic palatalized voiceless retroflex stop consonant	gld																													stop					palatalized				voiceless		retroflex																consonant				syllabic									
ʈ̩ʸː	ʈ̩ʲː	syllabic palatalized long voiceless retroflex stop consonant	gld														long															stop					palatalized				voiceless		retroflex																consonant				syllabic									
ʈ̩ː	ʈ̩ː	syllabic long voiceless retroflex stop consonant	gld;nidaba														long															stop									voiceless		retroflex																consonant				syllabic									
ʈ̬	ɖ	voiced retroflex stop consonant	bipa																													stop									voiced		retroflex																consonant													
ʈ̺	ʈ̺	voiceless apical retroflex stop consonant	panphon;phoible																											apical		stop									voiceless		retroflex																consonant													
ʈ̻	ʈ̻	voiceless laminal retroflex stop consonant	panphon																											laminal		stop									voiceless		retroflex																consonant													
ʈ̻ʂ̻	ʈʂ̻	voiceless laminal retroflex sibilant affricate consonant	eurasian;phoible	sibilant																										laminal		affricate									voiceless		retroflex																consonant													
ʈ͈	ʈ͈	strong voiceless retroflex stop consonant	aus;phoible			strong																										stop									voiceless		retroflex																consonant													
ʈ͉	ʈ̚	unreleased voiceless retroflex stop consonant	aus;phoible																													stop									voiceless		retroflex								unreleased								consonant													
ʈ͡ʂ	ʈʂ	voiceless retroflex sibilant affricate consonant	nidaba;panphon	sibilant																												affricate									voiceless		retroflex																consonant													
ʈ͡ʂʰ	ʈʂʰ	aspirated voiceless retroflex sibilant affricate consonant	nidaba;panphon	sibilant				aspirated																								affricate									voiceless		retroflex																consonant													
